aliquot_id	ova.nLOH	ova.LSTs	ova.nTAIs	ovaHRDscar	ova.HR.status	tnbc.nLOH	tnbc.LSTs	tnbc.nTAIs	tnbcHRDscar	tnbc.HR.status
0009b464-b376-4fbc-8a56-da538269a02f	26	4	27	57	HRD	19	33	27	79	HRD
003819bc-c415-4e76-887c-931d60ed39e7	0	0	0	0	HRP	0	0	0	0	HRP
0040b1b6-b07a-4b6e-90ef-133523eaf412	5	10	9	24	HRP	5	15	9	29	HRP
00493087-9d9d-40ca-86d5-936f1b951c93	2	1	3	6	HRP	1	1	3	5	HRP
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	14	4	6	24	HRP	9	16	6	31	HRP
005794f1-5a87-45b5-9811-83ddf6924568	0	0	1	1	HRP	0	0	1	1	HRP
005e85a3-3571-462d-8dc9-2babfc7ace21	1	2	0	3	HRP	0	6	0	6	HRP
007aab66-2f07-459d-8952-3041d6ea24a8	1	0	1	2	HRP	1	0	1	2	HRP
008aef39-0c97-48ce-9dfd-f12d67116c59	5	6	1	12	HRP	4	11	1	16	HRP
008bad10-d41b-4bbb-86fa-9976ecea46b1	0	0	2	2	HRP	0	5	2	7	HRP
00aa769d-622c-433e-8a8a-63fb5c41ea42	1	0	1	2	HRP	1	0	1	2	HRP
00b9d0e6-69dc-4345-bffd-ce32880c8eef	2	3	2	7	HRP	1	4	2	7	HRP
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	0	0	2	2	HRP	0	1	2	3	HRP
00c27940-c623-11e3-bf01-24c6515278c0	7	1	7	15	HRP	3	5	7	15	HRP
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	2	2	12	16	HRP	0	7	12	19	HRP
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	13	6	12	31	HRP	8	22	12	42	HRP
01658141-8398-4585-9f0f-8355dd9b0604	17	11	28	56	HRD	14	29	28	71	HRD
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	1	3	4	8	HRP	0	5	4	9	HRP
0176cf1d-0760-4769-a493-277f4bb7585e	13	3	10	26	HRP	11	7	10	28	HRP
0192d529-7340-45d8-a5f0-249cbb11ca19	3	1	2	6	HRP	3	1	2	6	HRP
01b0848c-ae36-4ade-a3da-d297b003c99f	21	15	24	60	HRD	13	42	24	79	HRD
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	1	1	3	5	HRP	1	2	3	6	HRP
01dc6872-c623-11e3-bf01-24c6515278c0	2	1	3	6	HRP	1	1	3	5	HRP
01df36af-3617-40fc-9892-f54ce433cf71	5	9	17	31	HRP	3	18	17	38	HRP
02078f77-2b35-4fa3-ab02-2c017181295e	0	0	0	0	HRP	0	0	0	0	HRP
020fab36-c7de-4933-b2bf-dc7b019a1326	13	2	17	32	HRP	11	19	17	47	HRP
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	26	11	16	53	HRP	20	23	16	59	HRD
02706819-bcab-4c49-a569-a4a8c60db1c0	0	0	0	0	HRP	0	0	0	0	HRP
02917220-6a7a-46a1-8656-907e96bef88e	8	6	6	20	HRP	7	7	6	20	HRP
0292a46f-a282-4b7f-a7d6-ac55cc7324fb	0	0	0	0	HRP	0	0	0	0	HRP
02c6a893-49c5-49d1-8eb1-195021e70d52	4	6	6	16	HRP	2	10	6	18	HRP
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	9	6	12	27	HRP	7	10	12	29	HRP
02e5c36f-5bec-45e2-a048-875653b85ca1	4	2	7	13	HRP	2	6	7	15	HRP
030695f6-c623-11e3-bf01-24c6515278c0	13	3	13	29	HRP	8	12	13	33	HRP
031962d6-fc7d-4c6c-9d47-ffa45997b249	3	0	3	6	HRP	3	1	3	7	HRP
0332b017-17d5-4083-8fc4-9d6f8fdbbbde	0	1	5	6	HRP	0	1	5	6	HRP
0363fe2c-d765-450e-8b1a-d13a23d9af2a	0	0	0	0	HRP	0	0	0	0	HRP
