sample_id,removed,reasons
a85cf239-ff51-46e7-9b88-4c2cb49c66b9,False,
PD31056a,True,
43f7a2e0-fec9-4e43-872d-18c6c946fa17,True,
PD36054a,True,del.mh.prop < 0.4
fc8130e0-0f1a-b6eb-e040-11ac0c48328f,False,
PD35933a,False,
PD31155a,True,
PD36067a,True,del.mh.prop < 0.4
PD31158a,False,
PD35935a,True,
987528ac-437a-4eb8-a335-4f2076d5c006,True,
PD31159a,False,
Patient34,False,
fc9f6916-da31-ab17-e040-11ac0c4808f3,False,
7456abd5-303e-4e6f-bf4e-47efefc7310f,True,timerQC_fail; del.mh.prop < 0.4
6e839eaf-1dbb-43f5-8846-c980e05540c7,False,
PD35957a,False,
f393bafe-7503-5c45-e040-11ac0d484511,False,
fc9f6cb0-ceb9-790d-e040-11ac0c480ad1,False,
6c8e9197-fd16-4fed-bfda-e349cab26314,False,
PD36039a,False,
fc8130e0-a38a-23b9-e040-11ac0c48327f,False,
PD31147a,False,
fc8130df-90ba-5d94-e040-11ac0d485e0c,False,
PD35979a,False,
PD36024a,True,
Patient33,True,timerQC_fail
fc8130df-8ec8-5b1e-e040-11ac0d485e06,True,timerQC_fail
Patient101,True,
fc8130e3-01ba-c740-e040-11ac0c483291,False,
207f8a42-5b05-4876-b0ae-ebfaeea27844,True,
PD35939a,False,
PD31107a,False,
fc813235-5ed8-7695-e040-11ac0d485e3e,False,
PD35941a,True,
f221cbb5-eefa-187f-e040-11ac0c481708,False,
PD36000a,False,
d8fbb398-d1da-4444-984a-22c8523625da,False,
PD35985a,False,
PD35962a,False,
PD36006a,True,
PD31129a,True,
PD35987a,False,
f393bb08-4121-cad8-e040-11ac0d484535,False,
PD36017a,False,
PD31171a,True,
PD35929a,True,
PD31127a,False,
d5372745-95cf-4572-a6e7-e7f5b796911a,True,
PD35953a,False,
f393bb07-270c-2c93-e040-11ac0d484533,True,
7b08e810-f3c9-4155-ac11-f45a3a4f8b41,False,
PD31074a,False,
71fda5a9-7049-406f-9348-2c24f7ddf5f4,False,
PD35930a,False,
eddfbfb9-3ae8-449b-b870-46062a2571c1,False,
PD31092a,False,
b752b444-f033-4be4-9d24-e5e80b4181af,True,
PD31044a,True,timerQC_fail
PD35958a,False,
PD36013a,False,
ea43434b-197e-48ac-ae2e-46bc7f3776de,False,
PD31145a,True,
PD31068a,False,
PD31097a,False,
PD31167a,False,
PD36038a,False,
PD31178a,True,
418e916b-7a4e-4fab-8616-15dcec4d79f8,True,del.mh.prop < 0.4
Patient25,False,
f393bb0c-4178-ca4a-e040-11ac0d48455f,True,del.mh.prop < 0.4; HRDetect < 0.7
PD35926a,True,
Patient17,False,
Patient82,False,
PD36026a,False,
PD31128a,False,
PD31169a,False,
5dbf3203-ce73-41e4-bf9a-32fc856f73f5,True,timerQC_fail
PD35955a,False,
PD31059a,False,
fc63cbab-d27a-5ebb-e040-11ac0c48724f,False,
Patient26,False,
PD31099a,False,
Patient18,False,
PD35992a,False,
PD35990a,True,
fca6150f-d555-a29e-e040-11ac0d4873b2,True,del.mh.prop < 0.4; HRDetect < 0.7
fc8130df-6860-7677-e040-11ac0d485ddc,False,
fc806c50-2f6e-418d-e040-11ac0d485f01,True,del.mh.prop < 0.4
PD31051a,False,
110b5f05-ded7-45ec-b0f6-a941c92d77dd,False,
