ID,HRDTime,HRDTime_ci,WGDTime,WGDTime_ci,WGDTime_CpG,WGDTime_CpG_err,pi2SBS1,pi2SBS1_ci,pi2SBS3,pi2SBS3_ci,pi1SBS1,pi1SBS1_ci,pi1SBS3,pi1SBS3_ci,c,c21,Nt_SBS1,Nt_SBS3,N_mut(C>TpG),N_mut_all
a85cf239-ff51-46e7-9b88-4c2cb49c66b9,0.40533344494626133,0.11928360532240737,0.8767931764384569,0.047959208355515426,0.8349306398615326,0.0477540753514083,"[0.7388447295426508, 0.4676096058218581, 0.7043516991044292]","[0.039137264077903, 0.04122425230127536, 0.03104063527059329]","[0.5799759883579648, 0.33328181007809127, 0.5872339098931828]","[0.01137446375224656, 0.008013678965339395, 0.008346714091921961]","[0.2611552704573482, 0.5323903941781422, 0.2956483008955674]","[0.03913726407790294, 0.041224252301275105, 0.031040635270593073]","[0.4200240116420376, 0.6667181899219062, 0.41276609010681503]","[0.011374463752246624, 0.008013678965339591, 0.008346714091921798]","[0.031289046249206864, 0, 0.03901026877051142]",0.03604960840690099,"[49.15632641858061, 65.67315440814518, 85.49882827581132]","[975.7906568827809, 1276.452831423973, 1568.8766491777028]","[66.0, 94.0, 115.0]","[1708.0, 2361.0, 2754.0]"
fc806c50-2f6e-418d-e040-11ac0d485f01,0.43785691476312905,0.08646013794854143,0.7034290280745674,0.048569995224341855,0.6514983542941053,0.04973079302963901,"[0.5309648157141593, 0.29808072929423607, 0.5618315139507603]","[0.035315195499439206, 0.029842748212877527, 0.0475991344496506]","[0.3032926185195297, 0.1559737957066608, 0.318981423151584]","[0.009292289612421904, 0.007825758267321785, 0.011835302178356353]","[0.4690351842858387, 0.7019192707057641, 0.43816848604924064]","[0.035315195499439345, 0.029842748212877288, 0.047599134449650395]","[0.6967073814804747, 0.8440262042933404, 0.6810185768484164]","[0.009292289612422091, 0.00782575826732178, 0.011835302178356434]","[0.1273212169251028, 0, 0.11104174877531194]",0.12189809821970307,"[106.04977210347201, 74.78467435321969, 47.941848142259275]","[560.1561714060969, 406.6332301644236, 277.5566333146705]","[140.0, 95.0, 63.0]","[2061.0, 1023.0, 1028.0]"
fc813235-5ed8-7695-e040-11ac0d485e3e,0.13388820028380996,0.15430260974221668,0.7633113011844073,0.05230341145229084,0.7229361737983507,0.05106668947727866,"[0.4719631606864577, 0.4403616025146192, 0.5332703682816595]","[0.04346049326225212, 0.03135701155461045, 0.03344753291271727]","[0.40532319626495705, 0.3626001606280758, 0.43060976252586963]","[0.011412860439583377, 0.008703527539871457, 0.009716974170836718]","[0.5280368393135441, 0.559638397485384, 0.46672963171834053]","[0.0434604932622521, 0.03135701155461044, 0.03344753291271727]","[0.5946768037350423, 0.6373998393719212, 0.5693902374741308]","[0.011412860439583462, 0.008703527539871657, 0.009716974170836888]","[0.08400355181032436, 0, 0.07034620870497629]",0.07623583129035477,"[52.37292483775929, 59.09467897008563, 61.57675000687264]","[554.3345660783503, 869.3143433976504, 718.3381521051706]","[68.0, 95.0, 82.0]","[1215.0, 2431.0, 1594.0]"
fc9f6916-da31-ab17-e040-11ac0c4808f3,0.11239954010221802,0.08059646267396796,0.2917716298841567,0.06706944081171895,0.3048405485795971,0.07024358560248194,"[0.13280888560415163, 0.10962664717235909, 0.2334608577753058]","[0.024437171802816016, 0.02220879028378845, 0.06375462941364841]","[0.1030329525771646, 0.0761827571262821, 0.12739376288056967]","[0.0059666421089937015, 0.004180606141688373, 0.008815933824917228]","[0.8671911143958481, 0.8903733528276405, 0.766539142224695]","[0.02443717180281602, 0.0222087902837887, 0.06375462941364848]","[0.8969670474228376, 0.9238172428737197, 0.8726062371194294]","[0.005966642108993662, 0.004180606141688384, 0.00881593382491718]","[0.05889868779923692, 0, 0.044921238989713765]",0.054394360093636386,"[45.183235599468446, 80.1659354415322, 17.991783379316384]","[742.3406967174253, 1204.470637835243, 351.9348869611997]","[68.0, 96.0, 26.0]","[1492.0, 1983.0, 708.0]"
fc9f6cb0-ceb9-790d-e040-11ac0c480ad1,0.16839935641940595,0.17512331506949266,0.8608576177348876,0.05250717194657328,0.8383916007612282,0.0472385640281941,"[0.7572485279813064, 0.42689259385071454, 0.6994990898972065]","[0.031455947297302465, 0.04578221472984369, 0.04979270804491027]","[0.6632762752533924, 0.4226859237172648, 0.7102871748705999]","[0.01025000069521515, 0.014970362750197629, 0.013593699426573637]","[0.2427514720186968, 0.5731074061492863, 0.30050091010279284]","[0.03145594729730241, 0.0457822147298438, 0.0497927080449104]","[0.3367237247466143, 0.5773140762827346, 0.2897128251293982]","[0.010250000695215082, 0.014970362750197558, 0.01359369942657359]","[0.08632090914202006, 0, 0.10234152708282139]",0.09199388284616755,"[104.46147438042811, 60.741028581818206, 48.385048978510625]","[873.1439798464615, 560.8426834248219, 492.11629639440594]","[134.0, 79.0, 62.0]","[2146.0, 1485.0, 1191.0]"
fc63cbab-d27a-5ebb-e040-11ac0c48724f,0.3187741681638536,0.1532153926858411,0.7678949777972366,0.06969413837454536,0.7754313323571396,0.08537624780329289,"[0.6605268094308333, 0.3357492725724118, 0.7058948229526348]","[0.04744841354719704, 0.029687560736196023, 0.06208360903122285]","[0.5306265533618352, 0.28331554012132054, 0.5062977954780951]","[0.013507880651124071, 0.007486789602863635, 0.0182142951317761]","[0.3394731905691686, 0.664250727427589, 0.2941051770473658]","[0.04744841354719708, 0.02968756073619594, 0.06208360903122279]","[0.4693734466381669, 0.7166844598786772, 0.49370220452190466]","[0.013507880651123986, 0.007486789602863386, 0.01821429513177605]","[0.04585557083425474, 0, 0.04558504025299106]",0.04577647438352775,"[59.52756525275105, 130.48806607812838, 29.560804062187543]","[940.1441386038184, 2081.9177974100608, 388.2264847475736]","[71.0, 153.0, 35.0]","[1484.0, 3252.0, 607.0]"
fca6150f-d555-a29e-e040-11ac0d4873b2,-0.02654871446604485,0.10001882254729735,0.3509450680737324,0.059672700234689346,0.32724368366029993,0.057041468427738856,"[0.1871961549397888, 0.13379785599533395, 0.2680003255864101]","[0.034254454771447646, 0.019603959242349173, 0.043244925580129656]","[0.14244323481972454, 0.8812177345484389, 0.21919873100652906]","[0.017713996060107363, 0.011131838199672424, 0.02278932401179419]","[0.8128038450602122, 0.8662021440046672, 0.7319996744135904]","[0.03425445477144759, 0.01960395924234929, 0.04324492558012962]","[0.8575567651802766, 0.11878226545156036, 0.7808012689934718]","[0.01771399606010735, 0.011131838199672455, 0.022789324011794114]","[0.6075908808094219, 0, 0.5859954200222692]",0.5999709995750543,"[93.27813257250632, 178.43899056381437, 49.80229257484808]","[145.7567110634208, 57.63798162100744, 79.94617041012319]","[108.0, 213.0, 57.0]","[599.0, 1473.0, 341.0]"
fc8130e0-a38a-23b9-e040-11ac0c48327f,0.17902633295508116,0.05768207837061175,0.2228236930750927,0.05821023808905036,0.2301889614784602,0.05448173747606731,"[0.1387450671643607, 0.08007451788477665, 0.103267420472942]","[0.03805270386169631, 0.015883256233045182, 0.03125939021115907]","[0.01728739737229783, 0.01754654680783682, 0.02615921791533265]","[0.0018804734690067882, 0.0012740313933125925, 0.0021446229612130025]","[0.8612549328356413, 0.9199254821152236, 0.8967325795270605]","[0.03805270386169621, 0.015883256233045043, 0.03125939021115899]","[0.9827126026277022, 0.9824534531921636, 0.9738407820846663]","[0.0018804734690067771, 0.0012740313933126016, 0.002144622961212909]","[0.07147695095736317, 0, 0.06541767428782758]",0.06809625665047664,"[39.632494928360074, 113.71737097954991, 42.241587959779174]","[486.46947598462384, 1327.4167000451264, 594.8628743113738]","[56.0, 151.0, 55.0]","[1025.0, 2761.0, 1278.0]"
fc8130e3-01ba-c740-e040-11ac0c483291,0.09654248383459517,0.15503846343425917,0.7514721986084385,0.047459690388976794,0.7527659386093006,0.05043096204097697,"[0.6825283734013661, 0.316405964509587, 0.6049630167069495]","[0.05027025115825958, 0.043178454752176736, 0.03121271076911248]","[0.5732124436366507, 0.3069007151648389, 0.5960576907784338]","[0.013626664799069816, 0.011768683075860266, 0.008116835083210634]","[0.3174716265986325, 0.6835940354904119, 0.3950369832930506]","[0.05027025115825945, 0.043178454752176625, 0.031212710769112362]","[0.42678755636335075, 0.6930992848351627, 0.40394230922156255]","[0.013626664799069852, 0.011768683075860155, 0.008116835083210648]","[0.05219434156975096, 0, 0.053186138011211206]",0.052937338042198065,"[38.3805375122089, 41.68181715184229, 91.51596682615298]","[547.1575311871577, 684.0310195484083, 1683.045720442304]","[60.0, 67.0, 146.0]","[1255.0, 1362.0, 3683.0]"
fc8130df-6860-7677-e040-11ac0d485ddc,0.14355234354151128,0.07588068303040645,0.6718807921760308,0.043067544061040186,0.6721035687905836,0.03979422922290554,"[0.4726001524104078, 0.20746384632887552, 0.5137419597895827]","[0.09374075208432794, 0.07747261764684689, 0.01892658352696279]","[0.47166085035162664, 0.3275398092453709, 0.4480616721378658]","[0.028836115898328938, 0.036475503540971045, 0.006655682686950874]","[0.5273998475895922, 0.7925361536711242, 0.4862580402104102]","[0.093740752084328, 0.0774726176468469, 0.018926583526962616]","[0.5283391496483733, 0.6724601907546295, 0.5519383278621304]","[0.02883611589832889, 0.0364755035409711, 0.006655682686950845]","[0.14221510586557065, 0, 0.10489433544424175]",0.1066424122944813,"[14.080617170288603, 11.39101010696992, 241.88119962485064]","[99.56130987985223, 64.0099248960603, 2032.3180296985008]","[17.0, 11.0, 305.0]","[249.0, 165.0, 5033.0]"
fc8130df-90ba-5d94-e040-11ac0d485e0c,0.4483886950283502,0.09779174231840604,0.7992129348540727,0.061017038011982994,0.7511301396563471,0.05464228189624726,"[0.588293307484083, 0.43149007117505245, 0.5551222535974926]","[0.04054028100668118, 0.03793941630255916, 0.04633126020328794]","[0.37662128728494615, 0.29275454897130215, 0.37295573841391017]","[0.010314345324691504, 0.008740102569891214, 0.01164679030909686]","[0.41170669251591785, 0.5685099288249467, 0.44487774640250605]","[0.040540281006681195, 0.03793941630255882, 0.04633126020328793]","[0.6233787127150581, 0.7072454510287041, 0.6270442615860904]","[0.010314345324691459, 0.008740102569891238, 0.011646790309096888]","[0.05030502753470627, 0, 0.05804002045562983]",0.05327599150377596,"[86.17260835421168, 80.79585162699296, 58.32730580478385]","[1130.781842467365, 935.4652476235057, 712.8298889540436]","[116.0, 113.0, 80.0]","[2256.0, 2200.0, 1401.0]"
fc8130e0-0f1a-b6eb-e040-11ac0c48328f,0.311849882649778,0.1057405182058933,0.4920721486642883,0.09567796429706171,0.3887725035925029,0.07859911850313453,"[0.27865577814794523, 0.20612136877825715, 0.34866347730370717]","[0.05345629983662612, 0.03838465061382924, 0.07077628459879816]","[0.12675315201060802, 0.10498161597384933, 0.1412116445543271]","[0.009154721947336937, 0.008736913345676335, 0.014411296897791737]","[0.7213442218520569, 0.7938786312217451, 0.6513365226962944]","[0.05345629983662589, 0.03838465061382899, 0.070776284598798]","[0.8732468479893949, 0.8950183840261491, 0.8587883554456739]","[0.009154721947336908, 0.008736913345676266, 0.014411296897791716]","[0.06410151347433174, 0, 0.08984844753262106]",0.07319106875889168,"[35.206412472325674, 47.06070537267519, 27.73003604771056]","[452.6898478305354, 436.7789365666169, 233.53430195243985]","[58.0, 72.0, 39.0]","[1252.0, 1448.0, 682.0]"
b752b444-f033-4be4-9d24-e5e80b4181af,0.4142385052064836,0.12010106833198261,0.9207948891893304,0.029853392982449434,0.9102341039782573,0.030416682112684335,"[0.8913172062228975, 0.3822023014355511, 0.877946893039055]","[0.01838538850242448, 0.055028977894442374, 0.01743094673840777]","[0.7987174061515933, 0.3106559443928057, 0.8045289377412113]","[0.008489646910161026, 0.013876163009166444, 0.007150910543771279]","[0.10868279377710134, 0.617797698564449, 0.1220531069609419]","[0.018385388502424507, 0.05502897789444241, 0.01743094673840784]","[0.20128259384840355, 0.6893440556071946, 0.19547106225878536]","[0.008489646910161085, 0.01387616300916635, 0.007150910543771224]","[0.055400085230390896, 0, 0.06558555515179246]",0.060892783020156216,"[90.33443122807127, 42.96118895480698, 107.82256162415806]","[880.7213014924253, 544.876294820843, 1025.508920493673]","[111.0, 47.0, 133.0]","[1797.0, 791.0, 2101.0]"
5dbf3203-ce73-41e4-bf9a-32fc856f73f5,0.16561525557989995,0.11738267850666984,0.6583883062170315,0.05973262583660255,0.656714727597769,0.05894068994773355,"[0.4581928189133139, 0.28899418985980824, 0.45309904475633156]","[0.04622021203489012, 0.030519803390064017, 0.03497810189726324]","[0.4340368406870989, 0.20275461629700023, 0.35598501732039767]","[0.014991529010933554, 0.0075622554154922365, 0.00936979468212135]","[0.541807181086688, 0.7110058101401873, 0.5469009552436702]","[0.04622021203489002, 0.030519803390064174, 0.03497810189726321]","[0.5659631593129011, 0.7972453837030027, 0.6440149826796021]","[0.01499152901093347, 0.00756225541549234, 0.009369794682121273]","[0.09577493474413254, 0, 0.07622928952938623]",0.08277311538352002,"[57.06589369341311, 106.9965762480121, 104.32816026880047]","[570.5416039359836, 1331.2313905395774, 1162.637621301387]","[75.0, 137.0, 136.0]","[1362.0, 2623.0, 2710.0]"
