ID,HRDTime,HRDTime_ci,WGDTime,WGDTime_ci,WGDTime_CpG,WGDTime_CpG_err,pi2SBS1,pi2SBS1_ci,pi2SBS3,pi2SBS3_ci,pi1SBS1,pi1SBS1_ci,pi1SBS3,pi1SBS3_ci,c,c21,Nt_SBS1,Nt_SBS3,N_mut(C>TpG),N_mut_all
a330a96e-9897-4605-b5f1-5b5ef45cd365,0.4229215475040358,0.0886001196586568,0.5710394621774296,0.0873108410939091,0.514162240787285,0.07145260901870784,"[0.3577299065510888, 0.27339980586190327, 0.31375383338845636]","[0.03897627614247823, 0.03687158721326083, 0.05524015019534227]","[0.09946950797593485, 0.08578952532475906, 0.18214498456524758]","[0.0056123652477080245, 0.005455564196406336, 0.011353232383760303]","[0.6422700934489137, 0.726600194138099, 0.6862461666115428]","[0.038976276142478214, 0.03687158721326109, 0.05524015019534201]","[0.9005304920240633, 0.9142104746752431, 0.8178550154347523]","[0.005612365247707899, 0.005455564196406458, 0.011353232383760294]","[0.07207927769229469, 0, 0.09908173722719336]",0.0796785858324008,"[71.29219403808301, 74.3754614379516, 30.500972725093966]","[706.1704421507122, 706.3722402475406, 259.0724228457229]","[103.0, 111.0, 43.0]","[1684.0, 1913.0, 664.0]"
e4aaca83-3ae9-47f6-a975-c144767ad705,0.25441968779303586,0.07881038620456365,0.280178521726952,0.07828590878944433,0.2512536642899443,0.07607915283109577,"[0.17374763098331325, 0.10404292198303608, 0.1631546870207228]","[0.11423258008201671, 0.023922725830998883, 0.03571472834468511]","[0.007764243187727784, 0.008939371408215102, 0.022538136425712663]","[0.003891264716343271, 0.001120869955747778, 0.0021596257387582083]","[0.826252369016687, 0.8959570780169652, 0.8368453129792752]","[0.11423258008201673, 0.023922725830998887, 0.035714728344685025]","[0.992235756812272, 0.9910606285917894, 0.9774618635742874]","[0.0038912647163432215, 0.001120869955747718, 0.0021596257387582625]","[0.13111225245400965, 0, 0.15276016269712148]",0.14964706075022566,"[8.204247320296453, 111.38415838968446, 61.54583452132536]","[52.61796423726346, 716.646725840756, 345.0255542748884]","[12.0, 141.0, 86.0]","[200.0, 2144.0, 1192.0]"
a3135834-3af0-4e98-bc6f-ad8ddf33db80,0.27310667787576703,0.0832156478015066,0.43912610876451663,0.08866367920645002,0.3931012465485766,0.07304556943795057,"[0.3389771619401587, 0.1728767523751496, 0.19757592147858583]","[0.05511746579096878, 0.025960356863797267, 0.043165394467103414]","[0.1028147219642129, 0.06795991116582624, 0.12802989785301983]","[0.00712822233846778, 0.003020055900432304, 0.006321918876828349]","[0.6610228380598429, 0.8271232476248508, 0.8024240785214157]","[0.055117465790969024, 0.025960356863797333, 0.043165394467103525]","[0.8971852780357864, 0.9320400888341756, 0.8719701021469806]","[0.007128222338467742, 0.003020055900432563, 0.006321918876828503]","[0.04714118762761082, 0, 0.041604476833111]",0.04395180072101547,"[38.03378378063222, 105.70807977161152, 36.336983237974025]","[593.9842327723134, 1956.838533448511, 803.8982305959187]","[67.0, 160.0, 56.0]","[1529.0, 4570.0, 2069.0]"
42465bbd-289b-4e96-98fe-76809c5e1520,0.30181403384375316,0.19150104332460952,0.9477025083366079,0.02113655697538641,0.9469478617431427,0.020277106487706364,"[0.9285568745383906, 0.295290394123999, 0.9304973677832038]","[0.01863447593130001, 0.08250177649764921, 0.010271476635075698]","[0.9100302829296651, 0.4203163460817676, 0.8898272387215233]","[0.0069952561744259095, 0.027309631211699027, 0.005690209894458116]","[0.07144312546160919, 0.7047096058760015, 0.06950263221679923]","[0.018634475931300014, 0.08250177649764909, 0.010271476635075726]","[0.08996971707033381, 0.5796836539182321, 0.1101727612784785]","[0.006995256174426036, 0.027309631211699017, 0.005690209894457943]","[0.11201476113705018, 0, 0.10224519240181554]",0.1055994220880068,"[84.65025653672848, 16.670018715595447, 182.76229217466715]","[605.0179968874891, 106.58100937166876, 1130.8954045674295]","[114.0, 19.0, 248.0]","[1727.0, 285.0, 3295.0]"
0d0793c1-df1b-4db1-ba36-adcb960cc0f5,0.5107366265947045,0.10794578591572226,0.8319162362196667,0.0602119686784745,0.793503291595396,0.0594675554596098,"[0.6394302334532116, 0.425221341045618, 0.6296794715816579]","[0.05332174563216778, 0.041234331894226345, 0.03861316590742673]","[0.4179682838058223, 0.2146729898514098, 0.4244914311599116]","[0.015135889188057092, 0.008262921868375912, 0.009974388982637954]","[0.36056976654678763, 0.5747786589543811, 0.3703205284183392]","[0.05332174563216774, 0.04123433189422653, 0.038613165907426715]","[0.5820317161941783, 0.7853270101485893, 0.5755085688400854]","[0.015135889188057031, 0.008262921868376112, 0.009974388982638006]","[0.04137109894591814, 0, 0.0357331646162152]",0.0375875161330181,"[40.71861901045479, 79.16284925624818, 69.97882074211562]","[610.4845826575666, 1221.4582934540342, 1259.6384280470459]","[61.0, 113.0, 95.0]","[1270.0, 2176.0, 2591.0]"
53bcbb68-addd-47fc-9910-cd1d3f38197d,0.10116690851163289,0.036567800201125114,0.12873179926462763,0.04333280856601557,0.152606565552211,0.050955047632680085,"[0.022161583021879053, 0.039052181108197505, 0.11659591590980764]","[0.012756982669002069, 0.009956766506112665, 0.025140010756333493]","[0.00954830620614474, 0.00685645952890987, 0.028895112742071006]","[0.002592727215132005, 0.0016113311689683043, 0.002343113647916969]","[0.9778384169781211, 0.9609478188918041, 0.8834040840901922]","[0.012756982669002069, 0.00995676650611271, 0.0251400107563335]","[0.990451693793855, 0.9931435404710893, 0.9711048872579287]","[0.002592727215132003, 0.001611331168968275, 0.002343113647916912]","[0.31518301918487884, 0, 0.273386352095172]",0.2892608116901004,"[39.30876112154064, 82.48958352006763, 59.380359719706824]","[123.52135519805422, 295.46897735912006, 197.98208613416568]","[45.0, 96.0, 76.0]","[463.0, 1004.0, 755.0]"
c767254e-b289-4904-a80f-050cf01ff8ba,0.31763370480630615,0.07442108892244123,0.44200085448892706,0.0818654972454112,0.37742857368744054,0.0749259958169417,"[0.2686444877094917, 0.19482864809908484, 0.23591853061330462]","[0.03824458159528159, 0.030602096167322547, 0.04289638781371434]","[0.09940502286961393, 0.06317322672829628, 0.10046318737832266]","[0.0052822584141225815, 0.004015250447022866, 0.00667049189416777]","[0.7313555122905058, 0.8051713519009186, 0.7640814693866931]","[0.03824458159528162, 0.030602096167322103, 0.04289638781371446]","[0.9005949771303859, 0.9368267732717005, 0.8995368126216757]","[0.005282258414122589, 0.004015250447022789, 0.006670491894167965]","[0.030980389512739424, 0, 0.0391371993243361]",0.03394655941125384,"[73.81535415415584, 105.58925605709607, 49.95647013597873]","[1934.9921468238958, 2021.1914905339952, 1083.8558977303405]","[105.0, 132.0, 71.0]","[2751.0, 2783.0, 1574.0]"
cf6c7066-6611-43ec-aef1-295a976cce5b,0.17921674403128215,0.07433468603266717,0.24975828953777537,0.06562615950085397,0.2350770888114876,0.06962720089700007,"[0.15624436883712586, 0.10576185033520628, 0.10118808487121196]","[0.06074356085892446, 0.019171126032221205, 0.026862252513325788]","[0.03086973968320448, 0.025486926756462767, 0.04734811362950573]","[0.005368192839472543, 0.001675056748198612, 0.004157056209060298]","[0.8437556311628747, 0.8942381496647891, 0.8988119151287881]","[0.06074356085892431, 0.01917112603222101, 0.026862252513325715]","[0.9691302603167941, 0.9745130732435348, 0.9526518863704926]","[0.005368192839472401, 0.0016750567481985982, 0.004157056209060207]","[0.061161098490038236, 0, 0.10506777854728258]",0.08995519145022797,"[26.814161991234432, 151.87413662570373, 78.83351509245695]","[381.83728588800625, 2080.2091301606533, 708.6969417294723]","[33.0, 206.0, 99.0]","[752.0, 3849.0, 1431.0]"
d2e4dc23-992d-4e44-add4-2972718083cb,0.7247936180521176,0.09693680173388924,0.9820576067707145,0.03230242434522096,0.9716909079229424,0.03717501377522747,"[0.9243899885444974, 0.5965858055646873, 0.9220587641928876]","[0.030758996160007313, 0.09553266689658575, 0.014976825399309763]","[0.7365289968975313, 0.3118114307935231, 0.7701445406363407]","[0.01740250731641042, 0.018985558556360235, 0.008245609732718512]","[0.07561001145550308, 0.4034141944353128, 0.07794123580711361]","[0.03075899616000727, 0.09553266689658563, 0.01497682539930947]","[0.26347100310246707, 0.6881885692064773, 0.22985545936365567]","[0.017402507316410323, 0.01898555855636035, 0.008245609732718578]","[0.01695203134263799, 0, 0.02192213652163086]",0.020799967381875176,"[23.620340584124477, 18.850879569635254, 87.65441115871731]","[400.73813053623735, 302.4636939396911, 1353.0751480484846]","[38.0, 26.0, 122.0]","[807.0, 502.0, 2765.0]"
d4bf6034-aeae-48a6-907b-10e2cc904015,0.21113287304256478,0.06614924974201757,0.23244077513951475,0.06710790857711972,0.238925225499313,0.0738704784436163,"[0.08236745481853606, 0.12400336407932004, 0.08879650191841139]","[0.028871619303042814, 0.025184065218986727, 0.02735978367625067]","[0.012940002187977764, 0.011284153094954652, 0.013899813364501724]","[0.002060160498742098, 0.0013746388704038437, 0.0015157963129629679]","[0.9176325451814651, 0.8759966359206808, 0.911203498081589]","[0.028871619303042786, 0.025184065218986675, 0.027359783676250745]","[0.9870599978120234, 0.9887158469050479, 0.9861001866354974]","[0.0020601604987420977, 0.001374638870403723, 0.0015157963129628763]","[0.1266132763881672, 0, 0.08498925048710283]",0.10219127508179085,"[49.20692796597788, 84.38268460559105, 49.19604824137875]","[361.6502017346117, 882.6354229196015, 535.4717420436185]","[63.0, 111.0, 60.0]","[844.0, 1814.0, 1198.0]"
acd510de-b732-4a1a-8b72-6d22e763540b,0.2610147430469156,0.09592688816091924,0.28741871115507656,0.08601489719232974,0.2550671983952099,0.0747370702231769,"[0.06264736977518166, 0.12657779803783245, 0.16005727686317323]","[0.032770290338244065, 0.030991938317875275, 0.0388271801957958]","[0.002204698773719469, 0.002282447853525591, 0.023953689766722387]","[0.0010163020284047718, 0.0005230137072065528, 0.002855107725472377]","[0.9373526302248176, 0.8734222019621665, 0.8399427231368258]","[0.032770290338244044, 0.030991938317875375, 0.03882718019579577]","[0.9977953012262815, 0.9977175521464764, 0.9760463102332783]","[0.0010163020284047375, 0.0005230137072065186, 0.002855107725472377]","[0.20237527859597818, 0, 0.22734132415842367]",0.21663521651899015,"[34.365036539093225, 77.24769948985606, 55.04212027436308]","[159.94573882741335, 432.1648431965499, 208.86776260326107]","[38.0, 95.0, 63.0]","[453.0, 1218.0, 609.0]"
8b28f6d2-4b7d-493b-826e-b119a4fb0cb4,0.21586902023400448,0.04592043113559775,0.3091446001127151,0.04353261384816304,0.2899795677675832,0.048482243708093675,"[0.1709745396697687, 0.11409488508202312, 0.21252141243293005]","[0.022898093670299068, 0.015765861317648844, 0.034004693123835]","[0.05305757267992803, 0.04228093049191424, 0.09003239708034862]","[0.003390972331214956, 0.0024930189840128712, 0.005426268538606493]","[0.8290254603302267, 0.8859051149179799, 0.7874785875670689]","[0.022898093670298852, 0.01576586131764863, 0.034004693123835]","[0.9469424273200735, 0.9577190695080767, 0.9099676029196483]","[0.0033909723312148454, 0.0024930189840128253, 0.0054262685386065185]","[0.16008096204758346, 0, 0.15836602739474923]",0.1595373097935848,"[180.93112519579736, 276.05530455125995, 83.85436645829871]","[989.9475321405796, 1359.9559348232006, 458.5166649552164]","[225.0, 344.0, 103.0]","[2656.0, 3986.0, 1244.0]"
