ID,HRDTime,HRDTime_ci,WGDTime,WGDTime_ci,WGDTime_CpG,WGDTime_CpG_err,pi2SBS1,pi2SBS1_ci,pi2SBS3,pi2SBS3_ci,pi1SBS1,pi1SBS1_ci,pi1SBS3,pi1SBS3_ci,c,c21,Nt_SBS1,Nt_SBS3,N_mut(C>TpG),N_mut_all
PD31044a,0.17392381713205698,0.1975888386100658,0.6331774115725577,0.11597255478359719,0.700181984497463,0.11438459034312004,"[0.3537090284635221, 0.30018172726966397, 0.07774213846671482]","[0.0735694301405048, 0.036724928671089486, 0.030450999589269]","[0.3523610298871611, 0.21159684989384522, 0.26168490507623]","[0.020541034138303528, 0.009131928680783066, 0.03280213424337757]","[0.6462909715364781, 0.6998182727303325, 0.922257861533285]","[0.07356943014050496, 0.036724928671089736, 0.030450999589268907]","[0.647638970112838, 0.7884031501061495, 0.7383150949237699]","[0.02054103413830357, 0.009131928680783129, 0.03280213424337757]","[0.06513727039174462, 0, 0.10212238196287389]",0.07196678962987031,"[16.010132102968893, 57.29167321433284, 4.618430922454341]","[245.63153642627856, 626.2552303168018, 57.30722398523707]","[24.0, 87.0, 6.0]","[745.0, 1871.0, 167.0]"
PD31051a,0.1036022323796465,0.05556606011270232,0.14474182195712626,0.06520999298677613,0.12507250674721743,0.054955462451989096,"[0.08775619934456631, 0.0422451596405652, 0.13778080537586013]","[0.024896985754510007, 0.015772949777594806, 0.06494677552923131]","[0.02324142256877337, 0.019141014491219823, 0.05788050838792984]","[0.002875432571805305, 0.0022849884115151396, 0.012629708602474301]","[0.9122438006554335, 0.9577548403594378, 0.8622191946241393]","[0.02489698575451013, 0.015772949777594865, 0.06494677552923135]","[0.9767585774312267, 0.9808589855087813, 0.9421194916120694]","[0.0028754325718053125, 0.0022849884115150655, 0.01262970860247427]","[0.0671952866256745, 0, 0.06780292346622234]",0.06726191047420947,"[75.84548614166175, 97.6687659362832, 9.209182342933243]","[1054.3420617193196, 1067.3917890026826, 124.87402407268434]","[120.0, 134.0, 16.0]","[2696.0, 2483.0, 327.0]"
PD31056a,-3.433235107802151,5.647534347538293,0.5025904584490868,0.2859782824070397,0.5310094345991405,0.2766555618727494,"[0.1933305008091035, 0.6606484774588606, 0.49526960079223087]","[0.11387454707682503, 0.05618818936055624, 0.23144672839198724]","[0.08048057276127082, 0.1207975713376436, 0.26112302394519804]","[0.008586686977812138, 0.01200324044536381, 0.03733143018187013]","[0.8066694991908964, 0.3393515225411394, 0.504730399207769]","[0.11387454707682504, 0.056188189360556216, 0.23144672839198724]","[0.9195194272387295, 0.8792024286623562, 0.7388769760548018]","[0.008586686977812235, 0.012003240445363859, 0.037331430181870136]","[0.035365695596854374, 0, 0.1284982141988188]",0.0654603526653919,"[2.268700542725383, 0.10387049417266649, 2.5831544281273926]","[58.02189339676446, 56.99527699055476, 14.452822198231177]","[3.0, 1.0, 4.0]","[137.0, 132.0, 63.0]"
PD31059a,0.028151444089316014,0.08512769714214494,0.28489512028147296,0.07561094120851197,0.27333312747421684,0.07013119119533627,"[0.10897154768065334, 0.11458129789420049, 0.22399735698611906]","[0.029923494822300566, 0.02227896682842302, 0.05092930269391079]","[0.10298456376835265, 0.10330700289428024, 0.2106139546504565]","[0.00814472950376134, 0.0052913525147650475, 0.015086253642038286]","[0.8910284523193441, 0.8854187021058028, 0.7760026430138811]","[0.02992349482230058, 0.022278966828422987, 0.050929302693910834]","[0.8970154362316447, 0.8966929971057184, 0.7893860453495433]","[0.008144729503761407, 0.005291352514765253, 0.015086253642038326]","[0.08034241216115465, 0, 0.07128062469695831]",0.0770044009004403,"[46.31896183181243, 87.82209662006906, 25.066416264822077]","[573.2103524565163, 1093.5469292812722, 346.2732594658436]","[57.0, 114.0, 30.0]","[1064.0, 2092.0, 617.0]"
PD31068a,0.1377717535579334,0.11095411897811061,0.44012905026350396,0.08630777219407987,0.4223958334387695,0.08857662367222655,"[0.16939601688579387, 0.17439403910995627, 0.4421869284079562]","[0.04104829217685935, 0.026231967411336203, 0.061463198336482054]","[0.19577211333058783, 0.12284023023663533, 0.2971780353715421]","[0.012966839081090396, 0.00748724985633969, 0.019044186700563487]","[0.8306039831142065, 0.8256059608900442, 0.5578130715920437]","[0.041048292176859305, 0.026231967411336023, 0.06146319833648194]","[0.8042278866694099, 0.8771597697633599, 0.7028219646284581]","[0.012966839081090328, 0.007487249856339681, 0.019044186700563508]","[0.07736342645813013, 0, 0.07473200334760391]",0.07635172681225276,"[33.69231521015095, 79.31436467075658, 26.707530881324757]","[450.064466207338, 822.7083794226189, 283.34226467004066]","[41.0, 91.0, 32.0]","[763.0, 1499.0, 472.0]"
PD31074a,0.3421466127768552,0.12939106208432521,0.7412568244495492,0.06452926688971422,0.6982235475636174,0.05919167291238914,"[0.5140024071745796, 0.4077449458740249, 0.5664816210572853]","[0.0420878991406625, 0.05163635362463968, 0.056091127316257886]","[0.34761900595274287, 0.2374257863882081, 0.3950725055046428]","[0.008512254940351552, 0.008381309358865647, 0.013896531103465323]","[0.4859975928254232, 0.5922550541259733, 0.4335183789427159]","[0.042087899140662306, 0.0516363536246395, 0.05609112731625801]","[0.652380994047261, 0.7625742136117892, 0.6049274944953589]","[0.0085122549403518, 0.008381309358865625, 0.013896531103465221]","[0.033986880327457135, 0, 0.02661574690498307]",0.03162250183802137,"[80.60067912527374, 42.69632212368137, 29.63186062046795]","[1766.9216064476925, 1375.762527988886, 797.9608593966601]","[105.0, 62.0, 41.0]","[2969.0, 2237.0, 1398.0]"
PD31092a,0.3654970281771864,0.1479667234066584,0.8843608010883702,0.04024190434216335,0.8517611480796887,0.048205809026289126,"[0.7205830369026003, 0.4478666104568022, 0.8059259888383684]","[0.04127426980667085, 0.054700255110822965, 0.020067086062810723]","[0.6647670063523026, 0.39214919747509397, 0.6632710508744845]","[0.011537991598557134, 0.017055407980434954, 0.009549121611200211]","[0.27941696309740044, 0.5521333895431987, 0.1940740111616316]","[0.041274269806670774, 0.05470025511082278, 0.020067086062810668]","[0.33523299364769826, 0.607850802524904, 0.3367289491255157]","[0.011537991598557196, 0.017055407980435092, 0.009549121611200256]","[0.0627133017197127, 0, 0.048591483466196565]",0.05460772071291988,"[56.01796390076598, 37.08929981637611, 83.35888323564396]","[743.5559963726554, 402.61346840669233, 989.3052951614794]","[67.0, 43.0, 95.0]","[1229.0, 707.0, 1656.0]"
PD31097a,0.6247403367360909,0.07655672621025739,0.9130281503132818,0.03782182944070778,0.8903572476921648,0.03484589202217009,"[0.7815856225384438, 0.4908309897521849, 0.7678845701801924]","[0.028926445574280774, 0.03515768738029343, 0.02445683382913996]","[0.552606090515672, 0.3419955052076154, 0.49281153888932905]","[0.011169243730094452, 0.010647264227517446, 0.010261911480629472]","[0.21841437746155734, 0.5091690102478121, 0.23211542981981068]","[0.028926445574280948, 0.0351576873802934, 0.024456833829140188]","[0.4473939094843263, 0.6580044947923878, 0.50718846111067]","[0.011169243730094616, 0.010647264227517552, 0.010261911480629729]","[0.048670438868717324, 0, 0.04870205871730443]",0.04868189247781604,"[111.76917431733833, 102.54213893823812, 131.5095646618769]","[1121.8676330778794, 879.1722640334483, 1237.720630676133]","[122.0, 119.0, 147.0]","[1992.0, 1785.0, 2150.0]"
PD31099a,0.346079977590407,0.14045992859204734,0.8272117786902359,0.05043302509072933,0.8002696126529656,0.05186304019498961,"[0.6304571157395874, 0.4093952128793193, 0.7379639052006507]","[0.04687944270908138, 0.0521412002680251, 0.03372736895426109]","[0.5369459985188896, 0.3788965781348058, 0.5666802473267643]","[0.012590896618960071, 0.015153178326954099, 0.01037554315735738]","[0.36954288426041076, 0.5906047871206807, 0.26203609479934914]","[0.046879442709081356, 0.052141200268025024, 0.033727368954261136]","[0.46305400148111175, 0.6211034218651951, 0.43331975267323836]","[0.012590896618960118, 0.015153178326954137, 0.01037554315735727]","[0.05508473730165526, 0, 0.0380787882933204]",0.046120670201697474,"[56.42485823071419, 35.52354969092947, 57.935643471787444]","[816.8799107043652, 511.3158332481719, 920.5729468191525]","[75.0, 49.0, 71.0]","[1453.0, 1035.0, 1620.0]"
PD31107a,0.4887445902437998,0.12334673312021385,0.5849920538822115,0.0933087477215763,0.48358684939206265,0.07954987588256543,"[0.5497309895469725, 0.2360780470514349, 0.34495561051659507]","[0.06162843941415871, 0.05868294092867089, 0.05504635243867836]","[0.08468826663262721, 0.08006733679821805, 0.10103216821428677]","[0.006735154535739242, 0.006516763803716595, 0.006900027935916485]","[0.4502690104530268, 0.7639219529485659, 0.6550443894834026]","[0.06162843941415883, 0.05868294092867087, 0.05504635243867826]","[0.9153117333673703, 0.9199326632017807, 0.8989678317857102]","[0.006735154535739473, 0.006516763803716669, 0.006900027935916589]","[0.030181469742123365, 0, 0.03869192776224468]",0.03468958675446826,"[45.419698953101836, 40.316698465593525, 44.51249539115254]","[738.332362406478, 747.2839676439363, 837.5920026290478]","[58.0, 63.0, 62.0]","[1156.0, 1538.0, 1308.0]"
