Sample,Cohort,Period,Signature,Mean,Lower,Upper
f393bafe-7503-5c45-e040-11ac0d484511,PCAWG,Early,SBS1,96.98495509215292,71.74714294431732,126.31338253282905
f393bafe-7503-5c45-e040-11ac0d484511,PCAWG,Early,SBS3,963.9428976696248,774.1579703958138,1147.6337012253348
f393bb0c-4178-ca4a-e040-11ac0d48455f,PCAWG,Early,SBS1,97.27134095547866,76.53144764454001,119.85466995687106
f393bb0c-4178-ca4a-e040-11ac0d48455f,PCAWG,Early,SBS3,84.94700784572743,0.0,302.11865145269877
f221cbb5-eefa-187f-e040-11ac0c481708,PCAWG,Early,SBS1,82.77678589218971,57.85804322607416,109.00229013024284
f221cbb5-eefa-187f-e040-11ac0c481708,PCAWG,Early,SBS3,294.9408024190097,141.92316199521514,432.6252717565681
f393bb08-4121-cad8-e040-11ac0d484535,PCAWG,Early,SBS1,156.03020286096117,125.16238824361717,192.76936273486683
f393bb08-4121-cad8-e040-11ac0d484535,PCAWG,Early,SBS3,1687.2544249842567,1357.6249127035085,2005.152131542385
f393bb07-270c-2c93-e040-11ac0d484533,PCAWG,Early,SBS1,80.19275398272457,59.28182637581006,111.24086398972896
f393bb07-270c-2c93-e040-11ac0d484533,PCAWG,Early,SBS3,1234.5811909509898,1001.9286301860732,1449.9944453947055
fc8130e0-a38a-23b9-e040-11ac0c48327f,PCAWG,Early,SBS1,15.75436177001992,6.7479249143623115,25.813604641507908
fc8130e0-a38a-23b9-e040-11ac0c48327f,PCAWG,Early,SBS3,28.082502969128683,0.0,116.88942039032986
fc806c50-2f6e-418d-e040-11ac0d485f01,PCAWG,Early,SBS1,110.63126443157728,90.39904362284611,134.15391145946717
fc806c50-2f6e-418d-e040-11ac0d485f01,PCAWG,Early,SBS3,272.633269516155,148.6983900331388,407.11936361764634
fc8130df-6860-7677-e040-11ac0d485ddc,PCAWG,Early,SBS1,136.88308007761214,100.87352343230313,168.46449839394
fc8130df-6860-7677-e040-11ac0d485ddc,PCAWG,Early,SBS3,954.7120579090016,713.4404993440874,1168.4821150944115
fc8130e0-0f1a-b6eb-e040-11ac0c48328f,PCAWG,Early,SBS1,32.25833714648568,18.454959136703327,47.635319697199414
fc8130e0-0f1a-b6eb-e040-11ac0c48328f,PCAWG,Early,SBS3,114.29348363994883,30.093835269926775,177.13425859262196
fc8130df-8ec8-5b1e-e040-11ac0d485e06,PCAWG,Early,SBS1,94.47775595993953,65.62907861770589,128.09789473495445
fc8130df-8ec8-5b1e-e040-11ac0d485e06,PCAWG,Early,SBS3,1575.881670680159,1216.6483080778353,2104.9469060730216
fc8130df-90ba-5d94-e040-11ac0d485e0c,PCAWG,Early,SBS1,119.08016586553971,92.31539939034259,148.62759068354924
fc8130df-90ba-5d94-e040-11ac0d485e0c,PCAWG,Early,SBS3,944.4605192909064,721.0563005532475,1157.5939899407815
fc813235-5ed8-7695-e040-11ac0d485e3e,PCAWG,Early,SBS1,84.86861516983258,62.61247991619225,108.15260657276184
fc813235-5ed8-7695-e040-11ac0d485e3e,PCAWG,Early,SBS3,741.3090877467064,562.1724711663957,899.5761910862644
fc9f6916-da31-ab17-e040-11ac0c4808f3,PCAWG,Early,SBS1,15.508694751970895,5.670641925591335,28.421849357733738
fc9f6916-da31-ab17-e040-11ac0c4808f3,PCAWG,Early,SBS3,157.71208808723517,74.12741875896657,251.61614656120202
fc9f6cb0-ceb9-790d-e040-11ac0c480ad1,PCAWG,Early,SBS1,138.7577028167541,105.85167989617835,166.44108977995572
fc9f6cb0-ceb9-790d-e040-11ac0c480ad1,PCAWG,Early,SBS3,1232.2108514814329,972.9749908836778,1485.2193482462571
fc8130e3-01ba-c740-e040-11ac0c483291,PCAWG,Early,SBS1,97.14406236450861,65.35732215779564,128.04112365466102
fc8130e3-01ba-c740-e040-11ac0c483291,PCAWG,Early,SBS3,1502.9254825334303,1252.0523131973603,1782.0941388529034
fc63cbab-d27a-5ebb-e040-11ac0c48724f,PCAWG,Early,SBS1,102.47706009862894,81.10989238755415,127.24070564739405
fc63cbab-d27a-5ebb-e040-11ac0c48724f,PCAWG,Early,SBS3,1252.497055663685,1036.822532985008,1534.9650578330477
fca6150f-d555-a29e-e040-11ac0d4873b2,PCAWG,Early,SBS1,49.37904794139013,31.615444844579255,65.4060761987581
fca6150f-d555-a29e-e040-11ac0d4873b2,PCAWG,Early,SBS3,53.27197714391492,0.0,141.07213234106857
a85cf239-ff51-46e7-9b88-4c2cb49c66b9,PCAWG,Early,SBS1,135.3932919343904,107.57128633680665,165.49445565565804
a85cf239-ff51-46e7-9b88-4c2cb49c66b9,PCAWG,Early,SBS3,1912.1450180332877,1675.5316906969524,2139.0628421213505
b752b444-f033-4be4-9d24-e5e80b4181af,PCAWG,Early,SBS1,201.02168354101667,169.31143468405745,236.04401341552537
b752b444-f033-4be4-9d24-e5e80b4181af,PCAWG,Early,SBS3,1690.2992445036132,1455.8335764232825,1960.7638708725353
71fda5a9-7049-406f-9348-2c24f7ddf5f4,PCAWG,Early,SBS1,103.10386942591893,76.9151149491307,130.90765548190768
71fda5a9-7049-406f-9348-2c24f7ddf5f4,PCAWG,Early,SBS3,649.398315173055,446.19140261403726,823.2769598869563
6e839eaf-1dbb-43f5-8846-c980e05540c7,PCAWG,Early,SBS1,36.633410079420244,21.94579638993439,51.77484400581967
6e839eaf-1dbb-43f5-8846-c980e05540c7,PCAWG,Early,SBS3,93.0772540885619,0.0,179.8697944024173
d8fbb398-d1da-4444-984a-22c8523625da,PCAWG,Early,SBS1,189.16424749995988,156.4775549762583,223.73895458766538
d8fbb398-d1da-4444-984a-22c8523625da,PCAWG,Early,SBS3,2462.8380632437306,2173.3594958655253,2801.364589786969
7b08e810-f3c9-4155-ac11-f45a3a4f8b41,PCAWG,Early,SBS1,74.12024097700622,53.504045352861375,96.76214225314506
7b08e810-f3c9-4155-ac11-f45a3a4f8b41,PCAWG,Early,SBS3,359.62066728960906,218.18306380565326,512.6736332555197
418e916b-7a4e-4fab-8616-15dcec4d79f8,PCAWG,Early,SBS1,180.27294266814013,147.7019924783499,213.14674658766785
418e916b-7a4e-4fab-8616-15dcec4d79f8,PCAWG,Early,SBS3,1432.6315213408693,1141.6763777773851,1756.2110518581342
6c8e9197-fd16-4fed-bfda-e349cab26314,PCAWG,Early,SBS1,138.45813290474382,109.58546255302586,173.57403548215305
6c8e9197-fd16-4fed-bfda-e349cab26314,PCAWG,Early,SBS3,1044.8801817593237,839.4136002402698,1255.8157304641734
207f8a42-5b05-4876-b0ae-ebfaeea27844,PCAWG,Early,SBS1,104.13394680360948,78.98063659353669,132.30413319922746
207f8a42-5b05-4876-b0ae-ebfaeea27844,PCAWG,Early,SBS3,1179.917695797886,935.6066769392263,1420.1565370465028
110b5f05-ded7-45ec-b0f6-a941c92d77dd,PCAWG,Early,SBS1,130.4558856151578,104.52336851657984,157.71076477784263
110b5f05-ded7-45ec-b0f6-a941c92d77dd,PCAWG,Early,SBS3,1099.9250307314346,846.0372924966281,1353.4392655864517
987528ac-437a-4eb8-a335-4f2076d5c006,PCAWG,Early,SBS1,96.4118856939957,72.53365228469785,120.47138045694611
987528ac-437a-4eb8-a335-4f2076d5c006,PCAWG,Early,SBS3,1082.8813086227171,862.8027826968271,1294.4370599892293
ea43434b-197e-48ac-ae2e-46bc7f3776de,PCAWG,Early,SBS1,148.84541599097906,119.12343822447406,183.7891166366492
ea43434b-197e-48ac-ae2e-46bc7f3776de,PCAWG,Early,SBS3,2319.382164947917,1981.5189532879324,2621.0128049058208
43f7a2e0-fec9-4e43-872d-18c6c946fa17,PCAWG,Early,SBS1,150.60324356631844,123.1384518920911,183.2810493041953
43f7a2e0-fec9-4e43-872d-18c6c946fa17,PCAWG,Early,SBS3,227.96472986537572,72.35763716242933,374.525921180653
eddfbfb9-3ae8-449b-b870-46062a2571c1,PCAWG,Early,SBS1,192.7038358060619,154.2452789195488,227.51941731350004
eddfbfb9-3ae8-449b-b870-46062a2571c1,PCAWG,Early,SBS3,928.1303832309613,696.10917609017,1148.0969750918891
d5372745-95cf-4572-a6e7-e7f5b796911a,PCAWG,Early,SBS1,110.74852147290981,84.14746147186825,138.80576691284048
d5372745-95cf-4572-a6e7-e7f5b796911a,PCAWG,Early,SBS3,1226.8367037938258,1026.5570550970617,1431.74251740542
5dbf3203-ce73-41e4-bf9a-32fc856f73f5,PCAWG,Early,SBS1,102.40586787775926,79.75020408941144,128.7102166173671
5dbf3203-ce73-41e4-bf9a-32fc856f73f5,PCAWG,Early,SBS3,891.8066116800046,705.6224328254858,1085.2561280800492
7456abd5-303e-4e6f-bf4e-47efefc7310f,PCAWG,Early,SBS1,54.37209771856569,36.58623698962128,71.06766836668677
7456abd5-303e-4e6f-bf4e-47efefc7310f,PCAWG,Early,SBS3,13.615244858155492,0.0,85.34724400300075
f393bafe-7503-5c45-e040-11ac0d484511,PCAWG,Late,SBS1,81.3120832992351,55.63705377774113,110.17750072035324
f393bafe-7503-5c45-e040-11ac0d484511,PCAWG,Late,SBS3,1101.7860022390034,855.8890514479821,1353.687396091276
f393bb0c-4178-ca4a-e040-11ac0d48455f,PCAWG,Late,SBS1,10.580265998813674,0.0,19.324896265848757
f393bb0c-4178-ca4a-e040-11ac0d48455f,PCAWG,Late,SBS3,94.95309400164308,18.276456510879974,160.7154212499304
f221cbb5-eefa-187f-e040-11ac0c481708,PCAWG,Late,SBS1,46.46472594132407,22.948881813573536,69.15524344720838
f221cbb5-eefa-187f-e040-11ac0c481708,PCAWG,Late,SBS3,1114.3538684515536,914.0318297206112,1355.8487804005877
f393bb08-4121-cad8-e040-11ac0d484535,PCAWG,Late,SBS1,91.60730810512422,65.75940438914714,117.56377811589739
f393bb08-4121-cad8-e040-11ac0d484535,PCAWG,Late,SBS3,1305.1979570836352,1069.3970914202023,1579.4655707115853
f393bb07-270c-2c93-e040-11ac0d484533,PCAWG,Late,SBS1,39.5854991223868,22.40245941321701,58.77208963351962
f393bb07-270c-2c93-e040-11ac0d484533,PCAWG,Late,SBS3,778.8262462264896,591.9904973661579,1014.7987327830891
fc8130e0-a38a-23b9-e040-11ac0c48327f,PCAWG,Late,SBS1,75.84881053368879,51.8663563277036,97.02444655896291
fc8130e0-a38a-23b9-e040-11ac0c48327f,PCAWG,Late,SBS3,1082.5491166643044,835.5409903552272,1430.5922024992522
fc806c50-2f6e-418d-e040-11ac0d485f01,PCAWG,Late,SBS1,70.09021789577065,49.53808577224147,91.71324385206518
fc806c50-2f6e-418d-e040-11ac0d485f01,PCAWG,Late,SBS3,569.9329075097605,362.49826598844976,774.0602812078306
fc8130df-6860-7677-e040-11ac0d485ddc,PCAWG,Late,SBS1,123.79132882048474,98.21742184159653,151.67977119045153
