sample,group,n_cells,1:Del:C:0,1:Del:C:1,1:Del:C:2,1:Del:C:3,1:Del:C:4,1:Del:C:5,1:Del:T:0,1:Del:T:1,1:Del:T:2,1:Del:T:3,1:Del:T:4,1:Del:T:5,1:Ins:C:0,1:Ins:C:1,1:Ins:C:2,1:Ins:C:3,1:Ins:C:4,1:Ins:C:5,1:Ins:T:0,1:Ins:T:1,1:Ins:T:2,1:Ins:T:3,1:Ins:T:4,1:Ins:T:5,2:Del:R:0,2:Del:R:1,2:Del:R:2,2:Del:R:3,2:Del:R:4,2:Del:R:5,3:Del:R:0,3:Del:R:1,3:Del:R:2,3:Del:R:3,3:Del:R:4,3:Del:R:5,4:Del:R:0,4:Del:R:1,4:Del:R:2,4:Del:R:3,4:Del:R:4,4:Del:R:5,5:Del:R:0,5:Del:R:1,5:Del:R:2,5:Del:R:3,5:Del:R:4,5:Del:R:5,2:Ins:R:0,2:Ins:R:1,2:Ins:R:2,2:Ins:R:3,2:Ins:R:4,2:Ins:R:5,3:Ins:R:0,3:Ins:R:1,3:Ins:R:2,3:Ins:R:3,3:Ins:R:4,3:Ins:R:5,4:Ins:R:0,4:Ins:R:1,4:Ins:R:2,4:Ins:R:3,4:Ins:R:4,4:Ins:R:5,5:Ins:R:0,5:Ins:R:1,5:Ins:R:2,5:Ins:R:3,5:Ins:R:4,5:Ins:R:5,2:Del:M:1,3:Del:M:1,3:Del:M:2,4:Del:M:1,4:Del:M:2,4:Del:M:3,5:Del:M:1,5:Del:M:2,5:Del:M:3,5:Del:M:4,5:Del:M:5
BTH2,HRD tumour,16,32,9,3,11,2,0,10,2,11,17,22,7,2,3,2,1,1,0,21,4,2,10,2,8,2,5,2,2,0,3,9,4,0,0,0,0,3,4,3,0,0,0,39,3,0,0,0,0,3,2,1,0,0,4,5,1,0,0,0,1,2,2,0,0,0,0,7,4,0,0,0,0,3,9,6,3,5,5,59,95,51,38,46
BTH2,HRD non-tumour,7,9,2,1,0,0,0,5,1,1,1,2,3,1,1,2,1,0,1,8,4,2,0,0,4,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,4,1,0,0,1,0
BTT1,HRD tumour,60,75,34,46,17,2,22,72,33,20,14,15,3,27,13,4,7,2,1,47,42,2,13,15,19,12,20,8,0,0,22,12,20,0,0,0,0,12,18,0,14,0,0,145,19,1,0,0,0,17,3,20,1,1,87,2,4,0,1,0,19,4,1,14,1,0,12,49,14,15,1,0,4,17,20,8,21,33,1,175,209,165,89,33
BTT1,HRD non-tumour,17,5,3,0,2,2,1,5,1,1,1,3,0,7,2,1,5,1,0,20,6,1,0,1,1,2,3,1,0,0,6,1,0,0,0,1,0,1,2,1,1,0,0,1,2,0,0,0,0,5,1,0,0,2,22,0,0,0,0,0,0,2,0,0,0,0,1,6,1,1,0,0,3,1,0,0,0,3,3,0,0,0,0,1
BTT3,HRD tumour,51,74,61,11,20,6,2,33,45,23,18,13,29,32,3,11,12,7,6,41,29,6,17,6,56,33,22,10,0,3,10,9,22,4,1,0,0,2,9,0,0,0,0,82,9,0,0,0,0,14,11,4,1,3,7,2,1,1,2,0,0,10,4,1,0,0,0,16,12,5,0,0,0,13,6,9,3,34,7,128,102,99,42,12
BTT3,HRD non-tumour,8,5,2,1,0,0,0,2,2,3,0,0,0,4,0,0,0,0,0,7,4,0,3,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
BTT4,HRD tumour,58,49,33,31,2,20,1,31,21,50,46,65,20,26,14,2,2,1,2,77,26,2,22,0,11,11,43,1,7,1,19,15,2,0,0,0,0,0,10,0,0,0,0,98,0,0,0,0,0,17,4,0,3,2,71,2,0,0,1,0,14,29,5,1,0,2,0,59,51,15,2,0,0,6,10,0,23,10,1,96,215,124,80,62
BTT4,HRD non-tumour,31,10,17,4,2,1,3,11,6,7,1,0,3,12,2,0,1,0,3,26,10,8,11,3,2,2,6,0,0,1,11,1,0,0,0,0,0,0,2,0,0,0,0,3,1,1,0,0,0,15,1,0,1,2,22,0,0,0,0,0,4,8,1,0,0,1,0,20,7,11,5,1,0,4,0,1,1,0,1,7,1,2,0,1
BTT5,HRD tumour,22,13,3,7,0,0,0,6,3,2,6,1,1,5,2,4,0,0,1,7,4,1,3,0,2,1,1,1,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,10,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,1,0,1,0,3,0,17,24,20,4,8
BTT5,HRD non-tumour,32,13,6,0,1,0,0,10,1,2,0,3,2,11,1,0,0,0,2,12,9,0,3,1,2,0,1,2,0,0,4,0,4,0,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0,8,1,2,0,0,6,1,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,2,2,1,1
