cohort,patient,sample_display,Clonal,Subclonal,n_total,pct_subclonal
INFORM,Patient25,Patient25,7268,991,8259,12.0
INFORM,Patient17,Patient17,4140,1135,5275,21.52
INFORM,Patient18,Patient18,4806,131,4937,2.65
INFORM,Patient34,Patient34,4039,283,4322,6.55
INFORM,Patient26,Patient26,3966,81,4047,2.0
INFORM,Patient82,Patient82,3277,293,3570,8.21
PCAWG,ea43434b-197e-48ac-ae2e-46bc7f3776de,SA32713,9857,725,10582,6.85
PCAWG,d8fbb398-d1da-4444-984a-22c8523625da,SA492388,7409,791,8200,9.65
PCAWG,f393bb08-4121-cad8-e040-11ac0d484535,SA6158,7236,294,7530,3.9
PCAWG,a85cf239-ff51-46e7-9b88-4c2cb49c66b9,SA53799,6823,433,7256,5.97
PCAWG,f393bafe-7503-5c45-e040-11ac0d484511,SA6137,6936,113,7049,1.6
PCAWG,fc8130e3-01ba-c740-e040-11ac0c483291,SA543399,6300,250,6550,3.82
PCAWG,f221cbb5-eefa-187f-e040-11ac0c481708,SA6760,6211,281,6492,4.33
PCAWG,fc8130df-90ba-5d94-e040-11ac0d485e0c,SA544029,5857,560,6417,8.73
PCAWG,eddfbfb9-3ae8-449b-b870-46062a2571c1,SA74453,5794,328,6122,5.36
PCAWG,fc63cbab-d27a-5ebb-e040-11ac0c48724f,SA541854,5343,597,5940,10.05
PCAWG,6c8e9197-fd16-4fed-bfda-e349cab26314,SA33508,5590,239,5829,4.1
PCAWG,110b5f05-ded7-45ec-b0f6-a941c92d77dd,SA33754,5487,305,5792,5.27
PCAWG,fc8130df-6860-7677-e040-11ac0d485ddc,SA543977,5447,177,5624,3.15
PCAWG,fc9f6cb0-ceb9-790d-e040-11ac0c480ad1,SA541840,4822,718,5540,12.96
PCAWG,6e839eaf-1dbb-43f5-8846-c980e05540c7,SA68015,4894,575,5469,10.51
PCAWG,fc813235-5ed8-7695-e040-11ac0d485e3e,SA541836,5240,56,5296,1.06
PCAWG,71fda5a9-7049-406f-9348-2c24f7ddf5f4,SA77461,4803,452,5255,8.6
PCAWG,fc8130e0-a38a-23b9-e040-11ac0c48327f,SA543282,5064,110,5174,2.13
PCAWG,fc9f6916-da31-ab17-e040-11ac0c4808f3,SA541838,4183,14,4197,0.33
PCAWG,7b08e810-f3c9-4155-ac11-f45a3a4f8b41,SA30223,3884,143,4027,3.55
PCAWG,fc8130e0-0f1a-b6eb-e040-11ac0c48328f,SA544072,3382,64,3446,1.86
SCANB,PD35955a,PD35955a,7956,9,7965,0.11
SCANB,PD35939a,PD35939a,7563,11,7574,0.15
SCANB,PD31074a,PD31074a,6604,35,6639,0.53
SCANB,PD31097a,PD31097a,5927,207,6134,3.37
SCANB,PD35953a,PD35953a,5944,161,6105,2.64
SCANB,PD31127a,PD31127a,6086,17,6103,0.28
SCANB,PD35985a,PD35985a,5970,14,5984,0.23
SCANB,PD35987a,PD35987a,5946,13,5959,0.22
SCANB,PD36000a,PD36000a,5525,385,5910,6.51
SCANB,PD36013a,PD36013a,5581,239,5820,4.11
SCANB,PD31051a,PD31051a,5506,154,5660,2.72
SCANB,PD36017a,PD36017a,5450,18,5468,0.33
SCANB,PD35930a,PD35930a,5269,193,5462,3.53
SCANB,PD31128a,PD31128a,4973,35,5008,0.7
SCANB,PD31169a,PD31169a,4855,44,4899,0.9
SCANB,PD31147a,PD31147a,4686,3,4689,0.06
SCANB,PD36039a,PD36039a,4160,83,4243,1.96
SCANB,PD31158a,PD31158a,4206,5,4211,0.12
SCANB,PD31107a,PD31107a,4002,137,4139,3.31
SCANB,PD31099a,PD31099a,4108,15,4123,0.36
SCANB,PD35992a,PD35992a,4015,17,4032,0.42
SCANB,PD35957a,PD35957a,3777,103,3880,2.65
SCANB,PD31059a,PD31059a,3773,16,3789,0.42
SCANB,PD31092a,PD31092a,3592,10,3602,0.28
SCANB,PD36038a,PD36038a,3560,12,3572,0.34
SCANB,PD31167a,PD31167a,3197,17,3214,0.53
SCANB,PD36026a,PD36026a,3157,2,3159,0.06
SCANB,PD35962a,PD35962a,2832,8,2840,0.28
SCANB,PD31068a,PD31068a,2734,4,2738,0.15
SCANB,PD35958a,PD35958a,2608,31,2639,1.17
SCANB,PD31159a,PD31159a,2618,1,2619,0.04
SCANB,PD35979a,PD35979a,2546,33,2579,1.28
SCANB,PD35933a,PD35933a,1820,326,2146,15.19
