Sample,Cell,Private,Other,Clonal,Low coverage,Total
BTT1,BTT1_sc139,33,112,961,51,1157
BTT1,BTT1_sc114,45,132,979,46,1202
BTT1,BTT1_sc148,41,145,974,54,1214
BTT1,BTT1_sc135,58,115,928,35,1136
BTT1,BTT1_sc143,65,112,894,42,1113
BTT1,BTT1_sc129,26,106,878,41,1051
BTT1,BTT1_sc110,41,149,1065,43,1298
BTT1,BTT1_sc128,47,128,995,49,1219
BTT1,BTT1_sc107,56,120,999,48,1223
BTT1,BTT1_sc117,56,137,1051,54,1298
BTT1,BTT1_sc105,72,112,1016,39,1239
BTT1,BTT1_sc138,35,121,1029,50,1235
BTT1,BTT1_sc146,62,120,1080,38,1300
BTT1,BTT1_sc102,51,111,1042,41,1245
BTT1,BTT1_sc145,57,116,1037,59,1269
BTT1,BTT1_sc136,42,111,905,36,1094
BTT1,BTT1_sc119,61,138,1080,53,1332
BTT1,BTT1_sc125,40,117,998,51,1206
BTT1,BTT1_sc106,54,135,1075,55,1319
BTT1,BTT1_sc118,64,131,1050,59,1304
BTT1,BTT1_sc101,59,129,1123,40,1351
BTT1,BTT1_sc123,31,78,712,50,871
BTT1,BTT1_sc116,104,120,1104,51,1379
BTT1,BTT1_sc133,55,89,906,38,1088
BTT1,BTT1_sc137,38,120,1051,46,1255
BTT1,BTT1_sc111,47,107,980,37,1171
BTT1,BTT1_sc108,53,111,1022,45,1231
BTT1,BTT1_sc124,42,96,1014,51,1203
BTT1,BTT1_sc029,19,50,503,37,609
BTT1,BTT1_sc014,81,99,870,45,1095
BTT1,BTT1_sc027,50,98,895,53,1096
BTT1,BTT1_sc032,55,88,789,37,969
BTT1,BTT1_sc113,64,109,1035,46,1254
BTT1,BTT1_sc013,27,70,563,26,686
BTT1,BTT1_sc023,56,92,803,52,1003
BTT1,BTT1_sc127,61,124,1075,40,1300
BTT1,BTT1_sc140,29,88,914,49,1080
BTT1,BTT1_sc017,69,114,973,52,1208
BTT1,BTT1_sc134,36,113,887,40,1076
BTT1,BTT1_sc109,51,139,1172,55,1417
BTT1,BTT1_sc131,27,119,899,43,1088
BTT1,BTT1_sc103,46,126,950,54,1176
BTT1,BTT1_sc126,45,156,1071,50,1322
BTT1,BTT1_sc004,74,147,909,46,1176
BTT1,BTT1_sc025,99,145,1020,79,1343
BTT1,BTT1_sc015,82,124,947,74,1227
