cell,no_total_unf_mutations,no_discarded_mutations_BULKCOV20,perc_of_disc_muts
BTE1_sc001,187,11,0.058823529411764705
BTE1_sc002,389,49,0.12596401028277635
BTE1_sc004,105,7,0.06666666666666667
BTE1_sc005,215,22,0.10232558139534884
BTE1_sc008,254,22,0.08661417322834646
BTE1_sc009,165,13,0.07878787878787878
BTE1_sc010,307,19,0.06188925081433225
BTE1_sc011,87,8,0.09195402298850575
BTE1_sc012,286,29,0.10139860139860139
BTE1_sc013,107,7,0.06542056074766354
BTE1_sc014,222,11,0.04954954954954955
BTE1_sc015,219,20,0.091324200913242
BTE1_sc016,131,8,0.061068702290076333
BTE1_sc017,208,18,0.08653846153846154
BTE1_sc018,258,26,0.10077519379844961
BTE1_sc020,165,20,0.12121212121212122
BTE1_sc021,167,18,0.10778443113772455
BTE1_sc022,194,16,0.08247422680412371
BTE1_sc023,139,13,0.09352517985611511
BTE1_sc024,131,6,0.04580152671755725
BTE2_sc001,58,20,0.3448275862068966
BTE2_sc002,91,22,0.24175824175824176
BTE2_sc003,27,8,0.2962962962962963
BTE2_sc004,41,15,0.36585365853658536
BTE2_sc005,40,8,0.2
BTE2_sc006,25,9,0.36
BTE2_sc007,42,12,0.2857142857142857
BTE2_sc008,40,10,0.25
BTE2_sc009,39,14,0.358974358974359
BTE2_sc010,44,20,0.45454545454545453
BTE2_sc011,42,18,0.42857142857142855
BTE2_sc012,74,26,0.35135135135135137
BTE2_sc013,41,15,0.36585365853658536
BTE2_sc014,45,22,0.4888888888888889
BTE2_sc015,34,15,0.4411764705882353
BTE2_sc017,49,17,0.3469387755102041
BTE2_sc018,60,25,0.4166666666666667
BTE2_sc019,38,12,0.3157894736842105
BTE2_sc020,24,9,0.375
BTE2_sc021,27,16,0.5925925925925926
BTE2_sc022,27,11,0.4074074074074074
BTE2_sc023,51,16,0.3137254901960784
BTE2_sc024,41,12,0.2926829268292683
BTE2_sc025,46,17,0.3695652173913043
BTE2_sc027,28,15,0.5357142857142857
BTE2_sc101,128,48,0.375
BTE2_sc103,107,35,0.32710280373831774
BTE2_sc104,96,46,0.4791666666666667
BTE2_sc105,257,80,0.311284046692607
BTE2_sc106,352,93,0.26420454545454547
BTE2_sc107,117,51,0.4358974358974359
BTE2_sc108,191,73,0.38219895287958117
BTE2_sc109,81,32,0.3950617283950617
BTE2_sc110,110,46,0.41818181818181815
BTE2_sc111,153,52,0.33986928104575165
BTE2_sc112,66,25,0.3787878787878788
BTE2_sc114,73,35,0.4794520547945205
BTE2_sc115,93,20,0.21505376344086022
BTE3_sc1,168,13,0.07738095238095238
BTE3_sc2,160,15,0.09375
BTE3_sc3,201,13,0.06467661691542288
BTE3_sc4,97,7,0.07216494845360824
BTE3_sc5,95,7,0.07368421052631578
BTE3_sc6,231,24,0.1038961038961039
BTE3_sc7,161,5,0.031055900621118012
BTE3_sc8,136,14,0.10294117647058823
BTE3_sc9,214,16,0.07476635514018691
BTE3_sc10,123,6,0.04878048780487805
BTE3_sc11,205,16,0.07804878048780488
BTE3_sc12,105,8,0.0761904761904762
BTE3_sc13,84,11,0.13095238095238096
BTE3_sc14,135,7,0.05185185185185185
BTE3_sc15,221,16,0.07239819004524888
BTE3_sc16,135,7,0.05185185185185185
BTE3_sc17,128,10,0.078125
BTE3_sc18,158,9,0.056962025316455694
BTE3_sc19,131,7,0.05343511450381679
BTE3_sc20,153,6,0.0392156862745098
BTE3_sc21,247,22,0.08906882591093117
BTE3_sc22,181,7,0.03867403314917127
BTE3_sc23,151,13,0.08609271523178808
BTE3_sc24,242,15,0.06198347107438017
BTE3_sc25,276,26,0.09420289855072464
BTE3_sc26,192,11,0.057291666666666664
BTE3_sc27,290,23,0.07931034482758621
BTE3_sc28,268,17,0.06343283582089553
BTE3_sc29,196,16,0.08163265306122448
BTE3_sc30,222,18,0.08108108108108109
BTE3_sc31,128,8,0.0625
BTE3_sc32,175,8,0.045714285714285714
BTE3_sc33,218,22,0.10091743119266056
BTE3_sc34,248,13,0.05241935483870968
BTE3_sc35,209,19,0.09090909090909091
BTE3_sc36,173,14,0.08092485549132948
BTE3_sc37,246,19,0.07723577235772358
BTE3_sc38,250,19,0.076
BTE3_sc39,255,11,0.043137254901960784
BTE3_sc40,159,7,0.0440251572327044
BTE3_sc41,243,18,0.07407407407407407
BTE3_sc42,228,17,0.07456140350877193
BTE3_sc43,186,11,0.05913978494623656
BTE3_sc44,184,13,0.07065217391304347
BTE3_sc45,213,18,0.08450704225352113
BTE3_sc46,243,23,0.09465020576131687
BTE3_sc47,260,21,0.08076923076923077
BTE3_sc48,193,10,0.05181347150259067
BTE3_sc49,43,0,0.0
BTE3_sc50,52,3,0.057692307692307696
BTE3_sc51,50,4,0.08
BTE3_sc52,46,5,0.10869565217391304
BTE3_sc53,62,7,0.11290322580645161
BTE3_sc54,87,14,0.16091954022988506
BTE3_sc55,128,9,0.0703125
BTE3_sc56,74,8,0.10810810810810811
BTE3_sc57,95,5,0.05263157894736842
BTE3_sc58,80,3,0.0375
BTE3_sc59,60,1,0.016666666666666666
BTE3_sc60,48,2,0.041666666666666664
BTE3_sc61,66,4,0.06060606060606061
BTE3_sc62,50,3,0.06
BTE3_sc63,245,18,0.07346938775510205
BTE3_sc64,58,7,0.1206896551724138
BTE3_sc65,39,6,0.15384615384615385
BTE3_sc66,51,3,0.058823529411764705
BTE3_sc67,66,8,0.12121212121212122
BTE3_sc68,39,2,0.05128205128205128
BTE3_sc69,106,11,0.10377358490566038
BTE3_sc70,75,7,0.09333333333333334
BTE3_sc71,36,3,0.08333333333333333
BTE3_sc72,52,6,0.11538461538461539
