,cellID,cnv,footprint_bp,sample
0,BTE1_sc001,1,0,BTE1
1,BTE1_sc002,1,0,BTE1
2,BTE1_sc004,1,0,BTE1
3,BTE1_sc005,1,0,BTE1
4,BTE1_sc008,1,0,BTE1
5,BTE1_sc009,1,0,BTE1
6,BTE1_sc010,1,0,BTE1
7,BTE1_sc011,1,0,BTE1
8,BTE1_sc012,1,0,BTE1
9,BTE1_sc013,1,0,BTE1
10,BTE1_sc014,1,0,BTE1
11,BTE1_sc015,1,0,BTE1
12,BTE1_sc016,1,5025368,BTE1
13,BTE1_sc017,1,0,BTE1
14,BTE1_sc018,1,0,BTE1
15,BTE1_sc020,1,0,BTE1
16,BTE1_sc021,1,0,BTE1
17,BTE1_sc022,1,15399792,BTE1
18,BTE1_sc023,1,126132765,BTE1
19,BTE1_sc024,1,0,BTE1
20,BTE1_sc001,2,473795336,BTE1
21,BTE1_sc002,2,272906261,BTE1
22,BTE1_sc004,2,473800212,BTE1
23,BTE1_sc005,2,305741817,BTE1
24,BTE1_sc008,2,473795336,BTE1
25,BTE1_sc009,2,324149711,BTE1
26,BTE1_sc010,2,453686144,BTE1
27,BTE1_sc011,2,0,BTE1
28,BTE1_sc012,2,318748513,BTE1
29,BTE1_sc013,2,0,BTE1
30,BTE1_sc014,2,466531657,BTE1
31,BTE1_sc015,2,288152954,BTE1
32,BTE1_sc016,2,278099007,BTE1
33,BTE1_sc017,2,478827915,BTE1
34,BTE1_sc018,2,481494554,BTE1
35,BTE1_sc020,2,471443467,BTE1
36,BTE1_sc021,2,305741817,BTE1
37,BTE1_sc022,2,287827623,BTE1
38,BTE1_sc023,2,229058137,BTE1
39,BTE1_sc024,2,453686144,BTE1
40,BTE1_sc001,3,0,BTE1
41,BTE1_sc002,3,344150779,BTE1
42,BTE1_sc004,3,445503064,BTE1
43,BTE1_sc005,3,284956494,BTE1
44,BTE1_sc008,3,242024810,BTE1
45,BTE1_sc009,3,598766336,BTE1
46,BTE1_sc010,3,220236259,BTE1
47,BTE1_sc011,3,17650274,BTE1
48,BTE1_sc012,3,222186205,BTE1
49,BTE1_sc013,3,121242111,BTE1
50,BTE1_sc014,3,92103443,BTE1
51,BTE1_sc015,3,376996637,BTE1
52,BTE1_sc016,3,379510814,BTE1
53,BTE1_sc017,3,92616809,BTE1
54,BTE1_sc018,3,70331190,BTE1
55,BTE1_sc020,3,400093933,BTE1
56,BTE1_sc021,3,359407774,BTE1
57,BTE1_sc022,3,491526058,BTE1
58,BTE1_sc023,3,424154405,BTE1
59,BTE1_sc024,3,197450131,BTE1
60,BTE1_sc001,4,1065245739,BTE1
61,BTE1_sc002,4,914326577,BTE1
62,BTE1_sc004,4,642523927,BTE1
63,BTE1_sc005,4,924425809,BTE1
64,BTE1_sc008,4,846007057,BTE1
65,BTE1_sc009,4,563281484,BTE1
66,BTE1_sc010,4,887904800,BTE1
67,BTE1_sc011,4,1491227664,BTE1
68,BTE1_sc012,4,318606108,BTE1
69,BTE1_sc013,4,1440585092,BTE1
70,BTE1_sc014,4,898356213,BTE1
71,BTE1_sc015,4,847422340,BTE1
72,BTE1_sc016,4,852488931,BTE1
