Cell,Sample,Mutation_Count
BTE1_sc001,BTE1,161
BTE1_sc002,BTE1,308
BTE1_sc004,BTE1,82
BTE1_sc005,BTE1,171
BTE1_sc008,BTE1,207
BTE1_sc009,BTE1,130
BTE1_sc010,BTE1,236
BTE1_sc011,BTE1,60
BTE1_sc012,BTE1,243
BTE1_sc013,BTE1,68
BTE1_sc014,BTE1,193
BTE1_sc015,BTE1,180
BTE1_sc016,BTE1,109
BTE1_sc017,BTE1,176
BTE1_sc018,BTE1,210
BTE1_sc020,BTE1,126
BTE1_sc021,BTE1,134
BTE1_sc022,BTE1,154
BTE1_sc023,BTE1,116
BTE1_sc024,BTE1,115
BTE2_sc002,BTE2,47
BTE2_sc009,BTE2,19
BTE2_sc010,BTE2,18
BTE2_sc011,BTE2,18
BTE2_sc012,BTE2,43
BTE2_sc013,BTE2,21
BTE2_sc014,BTE2,20
BTE2_sc015,BTE2,17
BTE2_sc017,BTE2,30
BTE2_sc018,BTE2,31
BTE2_sc019,BTE2,24
BTE2_sc020,BTE2,11
BTE2_sc021,BTE2,8
BTE2_sc022,BTE2,12
BTE2_sc023,BTE2,34
BTE2_sc024,BTE2,21
BTE2_sc025,BTE2,25
BTE2_sc027,BTE2,10
BTE2_sc107,BTE2,45
BTE2_sc108,BTE2,87
BTE2_sc111,BTE2,84
BTE3_sc001,BTE3,112
BTE3_sc002,BTE3,129
BTE3_sc003,BTE3,174
BTE3_sc004,BTE3,78
BTE3_sc005,BTE3,78
BTE3_sc006,BTE3,186
BTE3_sc007,BTE3,142
BTE3_sc008,BTE3,111
BTE3_sc009,BTE3,178
BTE3_sc010,BTE3,103
BTE3_sc011,BTE3,175
BTE3_sc012,BTE3,88
BTE3_sc013,BTE3,67
BTE3_sc014,BTE3,113
BTE3_sc015,BTE3,187
BTE3_sc016,BTE3,116
BTE3_sc017,BTE3,110
BTE3_sc018,BTE3,142
BTE3_sc019,BTE3,110
BTE3_sc020,BTE3,129
BTE3_sc021,BTE3,199
BTE3_sc022,BTE3,151
BTE3_sc023,BTE3,130
BTE3_sc024,BTE3,205
BTE3_sc025,BTE3,226
BTE3_sc026,BTE3,164
BTE3_sc027,BTE3,247
BTE3_sc028,BTE3,228
BTE3_sc029,BTE3,165
BTE3_sc030,BTE3,185
BTE3_sc031,BTE3,109
BTE3_sc032,BTE3,151
BTE3_sc033,BTE3,158
BTE3_sc034,BTE3,221
BTE3_sc035,BTE3,171
BTE3_sc036,BTE3,148
BTE3_sc037,BTE3,194
BTE3_sc038,BTE3,205
BTE3_sc039,BTE3,215
BTE3_sc040,BTE3,128
BTE3_sc041,BTE3,183
BTE3_sc042,BTE3,179
BTE3_sc043,BTE3,147
BTE3_sc044,BTE3,152
BTE3_sc045,BTE3,180
BTE3_sc046,BTE3,198
BTE3_sc047,BTE3,221
BTE3_sc048,BTE3,156
BTE3_sc049,BTE3,39
BTE3_sc050,BTE3,40
BTE3_sc051,BTE3,43
BTE3_sc052,BTE3,37
BTE3_sc053,BTE3,52
BTE3_sc054,BTE3,61
BTE3_sc055,BTE3,109
BTE3_sc056,BTE3,49
BTE3_sc057,BTE3,79
BTE3_sc058,BTE3,65
BTE3_sc059,BTE3,49
BTE3_sc060,BTE3,37
BTE3_sc061,BTE3,51
BTE3_sc062,BTE3,34
BTE3_sc063,BTE3,212
BTE3_sc064,BTE3,42
BTE3_sc065,BTE3,26
BTE3_sc066,BTE3,40
BTE3_sc067,BTE3,45
BTE3_sc068,BTE3,25
BTE3_sc069,BTE3,81
BTE3_sc070,BTE3,52
BTE3_sc072,BTE3,41
BTE3_sc073,BTE3,60
BTE3_sc074,BTE3,70
BTE3_sc075,BTE3,66
BTE3_sc076,BTE3,61
BTE3_sc077,BTE3,35
BTE3_sc078,BTE3,49
BTE3_sc079,BTE3,40
BTE3_sc080,BTE3,33
BTE3_sc081,BTE3,35
BTE3_sc082,BTE3,53
BTE3_sc083,BTE3,83
BTE3_sc084,BTE3,58
BTE4_sc001,BTE4,506
BTE4_sc002,BTE4,484
BTE4_sc003,BTE4,203
BTE4_sc004,BTE4,386
BTE4_sc006,BTE4,450
BTE4_sc009,BTE4,405
BTE4_sc010,BTE4,530
BTE4_sc011,BTE4,332
BTE4_sc012,BTE4,388
BTE4_sc013,BTE4,425
BTE4_sc014,BTE4,326
BTE4_sc015,BTE4,396
BTE4_sc016,BTE4,385
BTE4_sc018,BTE4,472
BTE4_sc019,BTE4,438
BTE4_sc020,BTE4,458
BTE4_sc021,BTE4,463
BTE4_sc022,BTE4,417
BTE4_sc023,BTE4,339
BTE4_sc024,BTE4,389
BTE4_sc025,BTE4,282
BTE4_sc027,BTE4,498
BTE4_sc029,BTE4,282
BTE4_sc030,BTE4,525
BTE4_sc031,BTE4,481
BTE4_sc034,BTE4,276
BTE4_sc035,BTE4,504
BTE4_sc037,BTE4,511
BTE4_sc043,BTE4,413
BTE4_sc044,BTE4,468
BTE4_sc045,BTE4,152
BTE4_sc046,BTE4,423
BTE4_sc047,BTE4,514
BTE4_sc050,BTE4,464
BTE4_sc051,BTE4,487
BTE4_sc052,BTE4,306
BTE4_sc054,BTE4,533
BTE4_sc055,BTE4,429
BTE4_sc058,BTE4,407
BTE4_sc059,BTE4,321
BTE4_sc061,BTE4,493
BTE4_sc062,BTE4,770
BTE4_sc063,BTE4,579
BTE4_sc064,BTE4,495
BTE4_sc065,BTE4,418
BTE4_sc066,BTE4,507
BTE4_sc201,BTE4,50
BTE4_sc203,BTE4,115
BTE4_sc205,BTE4,55
BTE5_sc001,BTE5,146
BTE5_sc003,BTE5,164
BTE5_sc004,BTE5,178
BTE5_sc005,BTE5,168
BTE5_sc007,BTE5,197
BTE5_sc008,BTE5,282
BTE5_sc009,BTE5,150
BTE5_sc010,BTE5,180
BTE5_sc011,BTE5,136
BTE5_sc012,BTE5,152
BTE5_sc014,BTE5,156
BTE5_sc015,BTE5,86
BTE5_sc016,BTE5,46
BTE5_sc017,BTE5,154
BTE5_sc020,BTE5,83
BTE5_sc021,BTE5,106
BTE5_sc023,BTE5,124
BTE6_sc001,BTE6,25
BTE6_sc002,BTE6,101
BTE6_sc003,BTE6,95
BTE6_sc004,BTE6,97
BTE6_sc005,BTE6,96
BTE6_sc006,BTE6,77
BTE6_sc007,BTE6,128
BTE6_sc009,BTE6,100
BTE6_sc010,BTE6,118
BTE6_sc011,BTE6,123
BTE6_sc014,BTE6,129
BTE6_sc015,BTE6,95
BTE6_sc016,BTE6,95
BTE6_sc017,BTE6,75
BTE6_sc018,BTE6,73
BTE6_sc019,BTE6,77
BTE6_sc020,BTE6,106
BTE6_sc022,BTE6,30
BTE6_sc023,BTE6,21
BTE6_sc024,BTE6,36
BTE7_sc301,BTE7,34
BTE7_sc304,BTE7,69
BTE7_sc305,BTE7,15
BTE7_sc306,BTE7,43
BTE7_sc307,BTE7,12
BTE7_sc308,BTE7,96
BTE7_sc312,BTE7,18
BTE7_sc313,BTE7,20
BTE7_sc314,BTE7,18
BTE7_sc315,BTE7,42
BTE7_sc316,BTE7,88
BTE7_sc317,BTE7,18
BTE7_sc318,BTE7,75
BTE7_sc320,BTE7,21
BTE7_sc321,BTE7,45
BTE7_sc322,BTE7,24
BTE7_sc323,BTE7,17
BTE7_sc324,BTE7,18
BTH1_sc301,BTH1,185
BTH1_sc303,BTH1,143
BTH1_sc304,BTH1,275
BTH1_sc305,BTH1,126
BTH1_sc306,BTH1,251
BTH1_sc307,BTH1,178
BTH1_sc308,BTH1,172
BTH1_sc309,BTH1,165
BTH1_sc310,BTH1,177
BTH1_sc311,BTH1,106
BTH1_sc312,BTH1,284
BTH1_sc313,BTH1,271
BTH1_sc314,BTH1,156
BTH1_sc315,BTH1,146
BTH1_sc316,BTH1,191
BTH1_sc317,BTH1,132
BTH1_sc318,BTH1,159
BTH1_sc319,BTH1,140
BTH1_sc320,BTH1,143
BTH1_sc321,BTH1,195
BTH1_sc322,BTH1,62
BTH1_sc323,BTH1,180
BTH1_sc324,BTH1,155
BTH2_sc001,BTH2,171
BTH2_sc002,BTH2,411
BTH2_sc003,BTH2,609
BTH2_sc005,BTH2,346
BTH2_sc006,BTH2,515
BTH2_sc007,BTH2,330
BTH2_sc008,BTH2,416
BTH2_sc009,BTH2,406
BTH2_sc010,BTH2,340
BTH2_sc011,BTH2,249
BTH2_sc012,BTH2,406
BTH2_sc201,BTH2,251
BTH2_sc202,BTH2,70
BTH2_sc203,BTH2,189
BTH2_sc204,BTH2,100
BTH2_sc205,BTH2,127
BTH2_sc206,BTH2,98
BTH2_sc207,BTH2,58
BTH2_sc208,BTH2,186
BTH2_sc209,BTH2,172
BTH2_sc210,BTH2,132
BTH2_sc211,BTH2,78
BTH2_sc212,BTH2,92
BTH3_sc001,BTH3,100
BTH3_sc002,BTH3,84
BTH3_sc003,BTH3,75
BTH3_sc006,BTH3,103
BTH3_sc007,BTH3,86
BTH3_sc008,BTH3,77
BTH3_sc009,BTH3,60
BTH3_sc011,BTH3,57
BTH3_sc013,BTH3,95
BTH3_sc014,BTH3,138
BTH3_sc015,BTH3,98
BTH3_sc017,BTH3,127
BTH3_sc018,BTH3,131
BTH3_sc019,BTH3,73
BTH3_sc020,BTH3,85
BTH3_sc021,BTH3,98
BTH3_sc022,BTH3,114
BTH3_sc023,BTH3,49
BTH4_sc001,BTH4,86
BTH4_sc002,BTH4,935
BTH4_sc003,BTH4,754
BTH4_sc004,BTH4,876
BTH4_sc005,BTH4,143
BTH4_sc006,BTH4,717
BTH4_sc007,BTH4,863
BTH4_sc008,BTH4,909
BTH4_sc009,BTH4,1177
BTH4_sc010,BTH4,756
BTH4_sc011,BTH4,718
BTH4_sc012,BTH4,61
BTH4_sc013,BTH4,893
BTH4_sc014,BTH4,652
BTH4_sc015,BTH4,570
BTH4_sc016,BTH4,930
BTH4_sc019,BTH4,324
BTH4_sc020,BTH4,774
BTH4_sc021,BTH4,784
BTH4_sc022,BTH4,729
BTH4_sc023,BTH4,768
BTH4_sc024,BTH4,760
BTH4_sc025,BTH4,318
BTH4_sc026,BTH4,566
BTH4_sc027,BTH4,345
BTH4_sc028,BTH4,26
BTH4_sc029,BTH4,493
BTH4_sc030,BTH4,420
BTH4_sc031,BTH4,542
BTH4_sc032,BTH4,580
BTH4_sc033,BTH4,302
BTH4_sc034,BTH4,466
BTH4_sc035,BTH4,547
BTH4_sc038,BTH4,407
BTH4_sc039,BTH4,405
BTH4_sc041,BTH4,339
BTH4_sc042,BTH4,591
BTH4_sc043,BTH4,478
BTH4_sc044,BTH4,527
BTH4_sc045,BTH4,382
BTH4_sc047,BTH4,399
BTH4_sc048,BTH4,630
BTH4_sc049,BTH4,1137
BTH4_sc051,BTH4,1205
BTH4_sc053,BTH4,1129
BTH4_sc054,BTH4,71
BTH4_sc055,BTH4,989
BTH4_sc056,BTH4,1253
BTH4_sc057,BTH4,67
BTH4_sc058,BTH4,144
BTH4_sc059,BTH4,1092
BTH4_sc061,BTH4,1335
BTH4_sc062,BTH4,1220
BTH4_sc063,BTH4,1657
BTH4_sc064,BTH4,773
BTH4_sc065,BTH4,1223
BTH4_sc066,BTH4,919
BTH4_sc202,BTH4,51
BTH4_sc204,BTH4,22
BTH4_sc205,BTH4,85
BTH4_sc206,BTH4,30
BTH5_sc002,BTH5,274
BTH5_sc004,BTH5,282
BTH5_sc005,BTH5,250
BTH5_sc006,BTH5,345
BTH5_sc011,BTH5,285
BTH5_sc012,BTH5,360
BTH5_sc015,BTH5,334
BTH5_sc016,BTH5,304
BTH5_sc018,BTH5,311
BTH5_sc020,BTH5,159
BTH5_sc021,BTH5,351
BTH5_sc024,BTH5,344
BTH6_sc001,BTH6,584
BTH6_sc002,BTH6,388
BTH6_sc003,BTH6,694
BTH6_sc004,BTH6,628
BTH6_sc005,BTH6,722
BTH6_sc006,BTH6,339
BTH6_sc007,BTH6,215
BTH6_sc008,BTH6,526
BTH6_sc009,BTH6,519
BTH6_sc010,BTH6,421
BTH6_sc011,BTH6,108
BTH6_sc012,BTH6,59
