"Sample_ID_ms","Sample_ID_internal","Type","Truncal.node","Early.tumor.remnant.cell","Diploid.cells.filtered.out.","Note","no_tumor_cells","tumor_cells"
"BTE1","BT36","ER+","29","BT36_sc013","","there are two distinct subclones; the paper annotation is different",18,"BT36_sc024;BT36_sc010;BT36_sc004;BT36_sc020;BT36_sc001;BT36_sc012;BT36_sc014;BT36_sc017;BT36_sc008;BT36_sc018;BT36_sc002;BT36_sc016;BT36_sc021;BT36_sc015;BT36_sc023;BT36_sc005;BT36_sc022;BT36_sc009"
"BTE2","BT2","ER+","64","BT2_sc019","No","much structure among the normal cells",6,"BT2_sc019;BT2_sc108;BT2_sc002;BT2_sc111;BT2_sc115;BT2_sc023"
"BTE3","BT3","ER+","138","BT3_sc6","","the remant cell looks like it is pre-acceleration on the CpG tree",40,"BT3_sc35;BT3_sc41;BT3_sc42;BT3_sc18;BT3_sc1;BT3_sc8;BT3_sc47;BT3_sc5;BT3_sc27;BT3_sc7;BT3_sc34;BT3_sc15;BT3_sc3;BT3_sc11;BT3_sc9;BT3_sc6;BT3_sc32;BT3_sc44;BT3_sc38;BT3_sc45;BT3_sc21;BT3_sc24;BT3_sc20;BT3_sc30;BT3_sc46;BT3_sc17;BT3_sc37;BT3_sc19;BT3_sc39;BT3_sc14;BT3_sc48;BT3_sc43;BT3_sc22;BT3_sc36;BT3_sc2;BT3_sc16;BT3_sc12;BT3_sc10;BT3_sc4;BT3_sc29"
"BTE4","BT34","ER+","70","BT34_sc059","","the remant cell in the clone of the truncal node",46,"BT34_sc006;BT34_sc004;BT34_sc037;BT34_sc065;BT34_sc030;BT34_sc019;BT34_sc018;BT34_sc027;BT34_sc020;BT34_sc064;BT34_sc066;BT34_sc021;BT34_sc025;BT34_sc024;BT34_sc050;BT34_sc003;BT34_sc063;BT34_sc047;BT34_sc022;BT34_sc051;BT34_sc015;BT34_sc046;BT34_sc023;BT34_sc062;BT34_sc059;BT34_sc052;BT34_sc014;BT34_sc045;BT34_sc012;BT34_sc002;BT34_sc031;BT34_sc054;BT34_sc009;BT34_sc029;BT34_sc043;BT34_sc061;BT34_sc035;BT34_sc055;BT34_sc044;BT34_sc034;BT34_sc013;BT34_sc011;BT34_sc058;BT34_sc016;BT34_sc010;BT34_sc001"
"BTE5","BT37","ER+","5","","","our tree plot looks different; the normal bulk has many mutations - looks from the tree",21,"BT37_sc016;BT37_sc020;BT37_sc003;BT37_sc007;BT37_sc010;BT37_sc009;BT37_sc012;BT37_sc022;BT37_sc017;BT37_sc019;BT37_sc005;BT37_sc001;BT37_sc008;BT37_sc024;BT37_sc014;BT37_sc011;BT37_sc002;BT37_sc021;BT37_sc015;BT37_sc004;BT37_sc023"
"BTE6","BT12","ER+","0","","","our tree plot looks different than the one in the paper",20,"BT12_sc011;BT12_sc009;BT12_sc017;BT12_sc015;BT12_sc024;BT12_sc004;BT12_sc019;BT12_sc016;BT12_sc020;BT12_sc018;BT12_sc001;BT12_sc023;BT12_sc005;BT12_sc003;BT12_sc010;BT12_sc014;BT12_sc007;BT12_sc022;BT12_sc006;BT12_sc002"
"BTE7","BT23","ER+","27,28","BT23_sc321","","",17,"BT23_sc315;BT23_sc311;BT23_sc323;BT23_sc312;BT23_sc324;BT23_sc321;BT23_sc307;BT23_sc310;BT23_sc305;BT23_sc314;BT23_sc313;BT23_sc320;BT23_sc306;BT23_sc301;BT23_sc309;BT23_sc322;BT23_sc317"
"BTH1","BT30","HER2+","44,43","BT30_sc321","","remnant cell sepparated before the truncal node",22,"BT30_sc324;BT30_sc305;BT30_sc317;BT30_sc308;BT30_sc310;BT30_sc319;BT30_sc301;BT30_sc315;BT30_sc307;BT30_sc320;BT30_sc313;BT30_sc309;BT30_sc304;BT30_sc323;BT30_sc314;BT30_sc303;BT30_sc318;BT30_sc316;BT30_sc311;BT30_sc312;BT30_sc306;BT30_sc321"
"BTH2","BT27","HER2+","34,42,43,24,26","","","clonal structure complicated; seems like we see remants from multiple stages",16,"BT27_sc003;BT27_sc008;BT27_sc201;BT27_sc009;BT27_sc208;BT27_sc203;BT27_sc205;BT27_sc005;BT27_sc001;BT27_sc002;BT27_sc010;BT27_sc209;BT27_sc012;BT27_sc006;BT27_sc007;BT27_sc011"
"BTH3","BT21","HER2+","32","","","",15,"BT21_sc017;BT21_sc023;BT21_sc014;BT21_sc008;BT21_sc019;BT21_sc006;BT21_sc018;BT21_sc002;BT21_sc021;BT21_sc013;BT21_sc020;BT21_sc015;BT21_sc022;BT21_sc001;BT21_sc003"
