cell_name,mut_count,length_in_CN[Mb],d,analytical_power_g,mut_burden_per_multiplicity,res_norm
BTT7_sc001,[0],129.442038,0.4681712026267718,[0.02380532],[0],0.0
BTT7_sc002,[0],160.289801,0.44098289290501663,[0.01894596],[0],0.0
BTT7_sc003,[0],127.052022,0.48655282575694636,[0.02515346],[0],0.0
BTT7_sc004,[0],129.791454,0.4812362116046221,[0.0242803],[0],0.0
BTT7_sc005,[3],258.289233,0.39250214065001304,[0.01413287],[212],0.0
BTT7_sc006,[0],127.078577,0.41355769086179156,[0.01538565],[0],0.0
BTT7_sc007,[4],167.079955,0.4123272746991634,[0.01699456],[235],4.440892098500626e-16
BTT7_sc008,[0],101.440484,0.41096386087113845,[0.01402152],[0],0.0
BTT7_sc009,[0],185.40059,0.37474552117263843,[0.01413044],[0],0.0
BTT7_sc010,[1],290.522301,0.369764897343717,[0.0148155],[67],0.0
BTT7_sc012,[9],647.724899,0.4046186595111954,[0.01581721],[569],0.0
BTT7_sc013,[0],129.57194,0.46534142199238054,[0.02219678],[0],0.0
BTT7_sc014,[0],175.310479,0.37096501184857716,[0.01296623],[0],0.0
BTT7_sc015,[4],258.331011,0.408244642287504,[0.0160489],[249],0.0
BTT7_sc016,[0],150.392858,0.4282124373574112,[0.01609259],[0],0.0
BTT7_sc017,[0],193.167174,0.38500217595335595,[0.01316604],[0],0.0
BTT7_sc018,[0],180.736271,0.3789152566421908,[0.01130013],[0],0.0
BTT7_sc019,[0],163.446199,0.26285941778178595,[0.01176069],[0],0.0
BTT7_sc021,[0],108.908333,0.26896536560160367,[0.01357462],[0],0.0
BTT7_sc022,[0],198.074128,0.21900460882096942,[0.00599701],[0],0.0
BTT7_sc023,[2],490.277668,0.29600869417393205,[0.01523297],[131],2.220446049250313e-16
BTT7_sc024,[2],237.093872,0.3157894736842105,[0.0187457],[107],0.0
BTT7_sc026,[0],75.672489,0.2903855464863154,[0.01476994],[0],0.0
BTT7_sc027,[1],137.516761,0.2754453702268808,[0.01273127],[79],2.220446049250313e-16
BTT7_sc028,[0],149.713415,0.25726457955373616,[0.01097999],[0],0.0
BTT7_sc029,[0],274.159019,0.3054787405261464,[0.01382137],[0],0.0
BTT7_sc030,[0],150.160915,0.29945585008449144,[0.01633875],[0],0.0
BTT7_sc031,[0],162.40048,0.23531275237258112,[0.00916173],[0],0.0
BTT7_sc032,[0],170.667048,0.24515636203784108,[0.01288611],[0],0.0
BTT7_sc033,[0],162.43212,0.2509658487153684,[0.01216854],[0],0.0
BTT7_sc034,[1],210.969952,0.26016435755500805,[0.01853901],[54],0.0
BTT7_sc035,[0],157.353908,0.2481454440258157,[0.01175062],[0],0.0
BTT7_sc036,[0],131.833123,0.2639656584655523,[0.01447713],[0],0.0
BTT7_sc037,[0],94.551644,0.2854910124240021,[0.01604856],[0],0.0
BTT7_sc038,[3],289.539232,0.2821672864505704,[0.01557753],[193],0.0
BTT7_sc039,[0],121.766871,0.24684664956516297,[0.01545729],[0],0.0
BTT7_sc040,[0],119.209228,0.31286799648516656,[0.01872491],[0],0.0
BTT7_sc041,[0],155.210033,0.2942488262910798,[0.01762909],[0],0.0
BTT7_sc046,[0],153.037654,0.25515729566118833,[0.01582912],[0],0.0
BTT7_sc047,[0],142.451009,0.23545275060576146,[0.00995659],[0],0.0
BTT7_sc048,[0],204.342764,0.25632039799667894,[0.01490089],[0],0.0
BTT7_sc049,[0],127.046822,0.24462618935771036,[0.01583412],[0],0.0
BTT7_sc050,[0],127.046822,0.2695549691271041,[0.0159248],[0],0.0
BTT7_sc051,[0],128.960852,0.2670697460293102,[0.01475665],[0],0.0
BTT7_sc052,[2],185.44345,0.27740860740921874,[0.01909143],[105],0.0
BTT7_sc053,[0],160.232073,0.24026100806658787,[0.01192552],[0],0.0
BTT7_sc054,[0],127.046822,0.21996412334147775,[0.01188733],[0],0.0
BTT7_sc056,[0],103.803945,0.33768570296923356,[0.01722892],[0],0.0
BTT7_sc057,[1],172.753559,0.25913953371446147,[0.01415535],[71],2.220446049250313e-16
BTT7_sc058,[1],203.964053,0.25537055864372765,[0.01517924],[66],0.0
BTT7_sc059,[0],142.136062,0.26698295204681366,[0.01447875],[0],0.0
BTT7_sc060,[0],145.019802,0.25035781164290716,[0.01429029],[0],0.0
BTT7_sc061,[2],787.919715,0.2545351003975534,[0.01369976],[146],0.0
BTT7_sc062,[0],202.867696,0.23852106419787722,[0.01119727],[0],0.0
BTT7_sc063,[0],182.924748,0.27444729680442165,[0.01449915],[0],0.0
BTT7_sc064,[0],103.803945,0.3114729114129024,[0.02426374],[0],0.0
BTT7_sc065,[0],106.474134,0.26334213657222794,[0.0156738],[0],0.0
BTT7_sc066,[0],119.104848,0.3246848113536566,[0.02346405],[0],0.0
