cell_name,mut_count,length_in_CN[Mb],d,analytical_power_g,mut_burden_per_multiplicity,res_norm
BTE1_sc001,"[42, 3, 0, 0]",1997.803544,0.3862534951242681,[0.01772077 0.03403755 0.04906816 0.06293041],[1557  511    0    0],1.2434497875801753e-14
BTE1_sc002,"[50, 11, 4, 0]",1685.989591,0.4002325850786678,[0.03976381 0.07353049 0.10210707 0.12630063],[1006    0  173   58],1.0087767680389479e-14
BTE1_sc004,"[12, 0, 0, 0]",1259.456999,0.4066619276475406,[0.0128688  0.02480948 0.03589859 0.04621268],[932   0   0   0],0.0
BTE1_sc005,"[34, 3, 0, 0]",1644.727956,0.41110590962794535,[0.02231655 0.04244867 0.06061516 0.07703482],[982 355   0   0],9.325873406851315e-15
BTE1_sc008,"[30, 6, 0, 0]",1558.570833,0.43847612068095226,[0.02895943 0.05453405 0.07711068 0.09707611],[306 498   0   0],8.881784197001252e-16
BTE1_sc009,"[19, 1, 0, 0]",1150.227098,0.4430558909549491,[0.01490483 0.02863359 0.04129156 0.05298407],[877 242   0   0],1.4210854715202004e-14
BTE1_sc010,"[41, 11, 0, 0]",1636.619793,0.4324973836195201,[0.03125034 0.05866635 0.08269465 0.10378187],[178 792   0   0],1.7763568394002505e-15
BTE1_sc012,"[15, 0, 1, 0]",867.585674,0.405970368933208,[0.02871194 0.05392916 0.07606924 0.09554975],[504   0   0  13],0.8640507186908148
BTE1_sc014,"[27, 7, 0, 0]",1360.760549,0.4312806813252049,[0.02342644 0.04448521 0.06342179 0.08048165],[  0 695  50   0],0.12881383828410192
BTE1_sc015,"[26, 6, 0, 0]",1514.266248,0.37799865184578174,[0.02125375 0.04062502 0.05828376 0.07439996],[ 86 743   0   0],1.9131948672901813e-14
BTE1_sc016,"[14, 2, 0, 0]",1361.491806,0.34436161360553524,[0.01399641 0.02709375 0.03935483 0.05084243],[247 463   0   0],3.972054645195637e-15
BTE1_sc017,"[35, 11, 1, 0]",1509.447551,0.3618408319110376,[0.02068079 0.03958641 0.05687012 0.07268517],[  0 910  87  83],8.464414897938035e-14
BTE1_sc018,"[28, 9, 2, 0]",1548.329857,0.35147315936022794,[0.0260668  0.04936137 0.07016771 0.08876983],[326 429   0 105],1.020439314654103e-14
BTE1_sc020,"[22, 0, 0, 0]",1337.741053,0.38021698394446574,[0.01835134 0.03520742 0.05069725 0.06494983],[1199    0    0    0],1.3510855101686188e-14
BTE1_sc021,"[30, 0, 0, 0]",1567.731302,0.3552714123233385,[0.01717844 0.0330519  0.04772553 0.0613045 ],[1746    0    0    0],3.552713678800501e-15
BTE1_sc022,"[9, 1, 0, 0]",1023.643629,0.40507216831118,[0.01843431 0.03534319 0.05086158 0.06512445],[223 166   0   0],2.4424906541753444e-15
BTE1_sc023,"[12, 0, 0, 0]",935.444979,0.33887810386611344,[0.01349335 0.02617293 0.03809301 0.04930786],[889   0   0   0],0.0
BTE1_sc024,"[20, 8, 0, 0]",1494.499967,0.2640805807588916,[0.01456926 0.02824694 0.04108812 0.05314792],[  0 454 383   0],0.7144855233426001
