cell_name,mut_count,length_in_CN[Mb],d,analytical_power_g,mut_burden_per_multiplicity,res_norm
BTH4_sc002,"[124, 9, 0, 0]",1285.849599,0.4115836093907533,[0.02905232 0.05520201 0.07874012 0.09995768],[3051  803    0    0],1.432144669219779e-14
BTH4_sc003,"[102, 7, 0, 0]",1225.108907,0.38600149159175295,[0.02473468 0.04728617 0.06785286 0.08663313],[2941  767    0    0],1.1546319456101628e-14
BTH4_sc004,"[111, 10, 0, 0]",1292.191556,0.4111107605669351,[0.02614054 0.04979806 0.07121997 0.09065363],[2644 1042    0    0],2.1390168887322673e-14
BTH4_sc006,"[67, 6, 0, 0]",1106.118624,0.40053103928582734,[0.02402258 0.04598315 0.0660687  0.08446624],[1644  729    0    0],2.7533531010703882e-14
BTH4_sc007,"[117, 7, 1, 0]",1263.959409,0.39023834533040874,[0.02587412 0.04941857 0.07084873 0.09037993],[3666  447    0   89],7.352057482483643e-14
BTH4_sc008,"[124, 12, 0, 0]",1301.16091,0.38722373491432516,[0.02730424 0.05207844 0.07456077 0.09498938],[2809 1139    0    0],8.881784197001252e-15
BTH4_sc009,"[77, 10, 1, 0]",1057.70862,0.3656460893284399,[0.03256218 0.06148025 0.08715571 0.10999004],[1753  271  163    0],4.285460875053104e-14
BTH4_sc010,"[93, 5, 0, 0]",1251.83172,0.39799073874821667,[0.0253001  0.04832234 0.06927736 0.0883758 ],[2832  545    0    0],4.529709940470639e-14
BTH4_sc011,"[113, 4, 0, 0]",1155.594631,0.4112704066627141,[0.02165496 0.04143252 0.05950828 0.07605782],[4348  552    0    0],1.1633442177606626e-13
BTH4_sc013,"[89, 4, 0, 0]",1133.15049,0.41505081434448554,[0.02838857 0.05393397 0.07692556 0.09765272],[2576  368    0    0],2.4884851026246757e-14
BTH4_sc014,"[25, 2, 0, 0]",680.849706,0.4067066532903584,[0.0192482  0.03707265 0.05358802 0.06890898],[712 359   0   0],8.750360656168091e-15
BTH4_sc015,"[60, 2, 0, 0]",1130.203468,0.41067127906467576,[0.02034272 0.0390425  0.05624386 0.07209132],[2444  315    0    0],6.750155989720952e-14
BTH4_sc016,"[120, 7, 0, 0]",1228.294114,0.41990010802184524,[0.02822847 0.05360186 0.0764162  0.09696753],[3262  652    0    0],8.031510207919937e-14
BTH4_sc019,"[18, 0, 0, 0]",818.874,0.40835548585744613,[0.01116258 0.02169023 0.03162527 0.04101004],[1613    0    0    0],3.552713678800501e-15
BTH4_sc020,"[127, 4, 0, 0]",1301.16091,0.39820358116755555,[0.02573649 0.04910405 0.07033117 0.08964634],[4289  420    0    0],3.30540822551633e-14
BTH4_sc021,"[117, 7, 0, 0]",1301.16091,0.36408166736900704,[0.02448765 0.04687583 0.06735043 0.0860973 ],[3643  742    0    0],7.460698725481052e-14
BTH4_sc022,"[102, 4, 1, 0]",1263.959409,0.36292166428248296,[0.02305913 0.04423746 0.06369572 0.08159462],[3992  153    0  100],6.563822179047967e-14
BTH4_sc023,"[94, 3, 0, 0]",1264.764317,0.3664200684076314,[0.02289415 0.04389614 0.06316962 0.08087824],[3555  356    0    0],3.3306690738754696e-14
BTH4_sc024,"[106, 4, 0, 0]",1280.799937,0.38207392991723366,[0.02540375 0.0485404  0.06961888 0.08884812],[3534  417    0    0],8.031510207919937e-14
BTH4_sc025,"[38, 1, 0, 0]",1203.072323,0.3095830764788963,[0.01031028 0.0201804  0.02963177 0.03868578],[2968  416    0    0],1.3087923823042227e-14
BTH4_sc026,"[57, 3, 0, 0]",1101.448073,0.3362612496785806,[0.01681868 0.03259069 0.04738638 0.0612761 ],[2445  579    0    0],3.5795353403832015e-14
BTH4_sc027,"[48, 1, 0, 0]",1237.467562,0.32895366411228155,[0.01147074 0.02239117 0.0327921  0.04270433],[3573  358    0    0],1.3181297901759441e-14
BTH4_sc029,"[60, 4, 0, 0]",1246.157031,0.3568092159333735,[0.01351174 0.02630153 0.03841204 0.04988596],[2395 1203    0    0],2.6645352591003757e-15
BTH4_sc030,"[30, 2, 0, 0]",1268.261998,0.3461948449104412,[0.0101094  0.0197725  0.02901193 0.03785035],[1331  938    0    0],2.6201263381153694e-14
BTH4_sc031,"[78, 5, 0, 0]",1301.16091,0.3676923076923077,[0.01689302 0.03272422 0.04756599 0.0614907 ],[2858 1061    0    0],3.019806626980426e-14
BTH4_sc032,"[60, 2, 0, 0]",1263.959409,0.3601930397424601,[0.01625272 0.0315077  0.0458317  0.05929145],[2961  440    0    0],1.2080532582046505e-14
BTH4_sc033,"[26, 2, 0, 0]",1196.677739,0.31962416927660225,[0.01032916 0.02020106 0.02963924 0.03866723],[1084  832    0    0],1.4876988529977098e-14
