cell_name,mut_count,length_in_CN[Mb],d,analytical_power_g,mut_burden_per_multiplicity,res_norm
BTE4_sc001,"[127, 1]",1098.29569,0.44713384115196775,[0.02857449 0.05335059],[4338   76],3.6722881741864484e-14
BTE4_sc002,"[119, 3]",1197.014022,0.4256321976636073,[0.02812161 0.05266486],[3914  227],6.204547701064548e-14
BTE4_sc003,"[29, 1]",838.072482,0.369200024979704,[0.01139296 0.02186816],[2160  247],1.6052227855330768e-14
BTE4_sc004,"[109, 1]",1201.667052,0.331787875953663,[0.02224783 0.04223737],[4777   88],1.3322676295501878e-15
BTE4_sc006,"[101, 3]",1087.109257,0.35451621788331505,[0.02706979 0.05100171],[3454  206],3.41804476365117e-14
BTE4_sc009,"[124, 1]",1073.173424,0.3647892510395991,[0.02367395 0.04481108],[5114   88],6.217248937900877e-15
BTE4_sc010,"[154, 14]",1193.664042,0.37483587150021414,[0.0303432  0.05661269],[4058  793],1.0658141036401503e-14
BTE4_sc011,"[87, 0]",1071.667429,0.321364396962286,[0.01907968 0.03649392],[4560    0],1.4210854715202004e-14
BTE4_sc012,"[101, 2]",1143.586197,0.3222138727830104,[0.02265276 0.04308871],[4217  173],4.917172637301238e-14
BTE4_sc013,"[100, 3]",1135.512517,0.33292397706561955,[0.02511385 0.04754926],[3678  224],1.4546887564889487e-14
BTE4_sc014,"[90, 4]",1109.972156,0.37286677794052525,[0.02567865 0.04827336],[3102  297],4.24192376735972e-14
BTE4_sc015,"[99, 1]",1059.568926,0.35121756779292196,[0.02611866 0.04931203],[3691   73],2.8066473196141986e-14
BTE4_sc016,"[86, 1]",1178.472338,0.34007989347536616,[0.02254288 0.04280757],[3689   90],6.963320226549634e-14
BTE4_sc018,"[103, 4]",903.645477,0.3542726094326453,[0.02991471 0.05597015],[3159  223],4.440892098500626e-15
BTE4_sc019,"[112, 4]",1062.216961,0.3584785822067564,[0.02724418 0.05131667],[3739  275],2.2748467065386707e-14
BTE4_sc020,"[104, 3]",1089.955653,0.38088449985095274,[0.02926279 0.05488592],[3293  194],5.087487228514819e-14
BTE4_sc021,"[118, 13]",1096.664071,0.3575315346304584,[0.02751279 0.05153587],[3242  811],1.4210854715202004e-14
BTE4_sc022,"[104, 3]",1064.341003,0.35748513659070286,[0.02447812 0.04629065],[3908  245],1.0658141036401503e-14
BTE4_sc023,"[94, 2]",1120.025855,0.33616203703703706,[0.02226881 0.04227469],[3972  179],7.105427357601002e-15
BTE4_sc024,"[103, 2]",1141.279597,0.34808342962599653,[0.02521948 0.04764862],[3878  151],5.773159728050814e-15
BTE4_sc025,"[67, 2]",1071.794161,0.29245510633164445,[0.01769355 0.03391616],[3453  233],5.579685355162332e-14
BTE4_sc027,"[93, 4]",1040.374789,0.3462368973776734,[0.02993053 0.05612014],[2821  224],4.440892098500626e-15
BTE4_sc029,"[77, 1]",1249.272989,0.3000825522221177,[0.01741328 0.03337557],[4246  122],3.519319429951713e-14
BTE4_sc030,"[117, 8]",1040.374789,0.34324347978295117,[0.03258752 0.06085088],[3120  383],3.375077994860476e-14
BTE4_sc031,"[117, 2]",1148.844836,0.331360705852745,[0.02610182 0.04929021],[4302  136],3.929687679417675e-14
BTE4_sc034,"[49, 2]",805.003068,0.40375873156669256,[0.01741236 0.03271035],[2479  239],1.3766765505351941e-14
BTE4_sc035,"[140, 1]",1153.474506,0.3676209438734327,[0.03155957 0.05895514],[4367   54],3.907985046680551e-14
BTE4_sc037,"[150, 3]",1168.927009,0.3790185642328163,[0.03103521 0.05790344],[4616  168],2.353672812205332e-14
BTE4_sc043,"[29, 4]",338.05093,0.39320454152390655,[0.02292541 0.04270798],[859 311],3.794299872214038e-15
BTE4_sc044,"[118, 2]",1140.807921,0.3197968132196488,[0.02688406 0.05079057],[4222  128],1.4210854715202004e-14
BTE4_sc045,"[40, 1]",1108.162971,0.26452633958851457,[0.01062658 0.02056881],[3427  223],4.026682640859944e-14
BTE4_sc046,"[112, 1]",1244.960051,0.34931023760589125,[0.02721323 0.05122872],[4028   66],4.440892098500626e-16
BTE4_sc047,"[145, 1]",1085.417672,0.3493505356649855,[0.03021081 0.05668534],[4726   57],9.103828801926284e-15
BTE4_sc050,"[94, 3]",993.773101,0.3017353706735665,[0.02747503 0.05178979],[3213  169],2.1760371282653068e-14
BTE4_sc051,"[127, 4]",1071.01367,0.30869604974396486,[0.02945769 0.05546291],[4049  211],7.105427357601002e-15
BTE4_sc052,"[96, 0]",1174.848717,0.24672408469046628,[0.02206006 0.04219904],[4352    0],3.413862143139535e-14
