cell_name,mut_count,length_in_CN[Mb],d,analytical_power_g,mut_burden_per_multiplicity,res_norm
BTT1_sc001,"[0, 0, 0]",0.0,0.4610511542060267,[0.05165433 0.0937713  0.12858875],[0 0 0],0.0
BTT1_sc002,"[0, 0, 0]",80.002918,0.3114615480365183,[0.02641879 0.05014141 0.07154113],[0 0 0],0.0
BTT1_sc004,"[90, 13, 1]",679.241757,0.32690943696158137,[0.03224727 0.06056388 0.08558424],[2027  526   79],6.902159307373502e-14
BTT1_sc009,"[135, 48, 10]",859.090436,0.3126594778581117,[0.04634418 0.0847237  0.11682653],[1921  858  268],4.3366397107056194e-14
BTT1_sc010,"[157, 20, 2]",751.749505,0.39806480206776723,[0.03815283 0.07049728 0.09821734],[3128  656  136],1.5477321300266254e-13
BTT1_sc012,"[114, 10, 0]",991.90563,0.33697068776294126,[0.02200798 0.0419839  0.06019434],[3732  997    0],4.325711579826191e-14
BTT1_sc013,"[84, 4, 1]",852.617432,0.3576165172948007,[0.01813006 0.03477516 0.05010733],[4093    0  292],0.19668128340717736
BTT1_sc014,"[193, 23, 1]",1113.24673,0.3948235089926887,[0.03137628 0.05909112 0.08371132],[4113 1291  140],4.5223743518312964e-13
BTT1_sc015,"[140, 11, 3]",714.066155,0.37385476008692076,[0.03520734 0.06566408 0.0922206 ],[3454  150  244],2.1316282072803006e-14
BTT1_sc016,"[73, 9, 0]",606.408502,0.3613712859148965,[0.02855683 0.05372258 0.07606036],[1770  585    0],4.440892098500626e-14
BTT1_sc017,"[153, 22, 5]",923.999843,0.35472802666883485,[0.02881007 0.05419999 0.07673011],[3842  508  545],1.1236071345073007e-13
BTT1_sc020,"[55, 12, 2]",613.909709,0.2515298551917599,[0.01576028 0.03043048 0.04412352],[1615  727  485],8.015287401035549e-14
BTT1_sc022,"[55, 1, 0]",2514.651609,0.41356995517781536,[0.03855994 0.0715066  0.09992102],[1366   46    0],1.3988810110276972e-14
BTT1_sc023,"[123, 14, 0]",892.937728,0.34826626045412057,[0.02368384 0.04497925 0.0642331 ],[3437 1236    0],9.903454017300833e-14
BTT1_sc025,"[157, 20, 1]",689.103891,0.44277476735355825,[0.04972136 0.09072306 0.12497357],[2399  574   53],1.1245200147905088e-13
BTT1_sc026,"[0, 0, 0]",71.584636,0.44446312582136105,[0.04600275 0.08423401 0.11640932],[0 0 0],0.0
BTT1_sc027,"[111, 14, 0]",760.178573,0.36019153165643664,[0.02797008 0.05287679 0.07515988],[2571 1004    0],1.6758116906701664e-14
