cell_name,mut_count,length_in_CN[Mb],d,analytical_power_g,mut_burden_per_multiplicity,res_norm
BTH5_sc002,"[72, 22, 0, 0]",1040.774998,0.30365554690964464,[0.03027181 0.05743215 0.08176282 0.10354564],[ 704 1266    0    0],2.842170943040401e-14
BTH5_sc004,"[89, 40, 0, 1]",1323.407544,0.3662137729170716,[0.03363431 0.06327694 0.08935516 0.11229624],[   0 1736  228    0],1.856024638418489
BTH5_sc005,"[82, 21, 0, 0]",1279.899002,0.33856303686867195,[0.03110824 0.05882652 0.08348872 0.10542872],[ 924 1262    0    0],3.1776437161565096e-14
BTH5_sc006,"[135, 39, 0, 0]",1408.095785,0.31996744552061734,[0.0299086  0.05660049 0.08039086 0.10159489],[1448 2309    0    0],4.973799150320701e-14
BTH5_sc011,"[87, 9, 1, 0]",1028.927173,0.37676007442997195,[0.03891755 0.07257952 0.10161462 0.12665161],[1774  336    0   28],1.7235296186091125e-14
BTH5_sc012,"[124, 35, 0, 0]",1378.413614,0.41078382079205805,[0.04115882 0.07650948 0.10677118 0.13266313],[ 968 1558    0    0],5.82256867336699e-14
BTH5_sc015,"[108, 36, 1, 0]",1318.478738,0.3724371378961584,[0.03502129 0.06578135 0.09274328 0.11637021],[ 708 1618  148    0],5.972999872483342e-14
BTH5_sc016,"[113, 32, 1, 0]",1475.512605,0.3571474252918948,[0.03447042 0.06487166 0.09163267 0.11518243],[1209 1404  145    0],7.746143079195814e-14
BTH5_sc018,"[113, 23, 2, 0]",1215.868393,0.3568992583770909,[0.03261027 0.06150456 0.08706438 0.10967121],[2138  651  325    0],3.351623381340333e-14
BTH5_sc020,"[54, 7, 0, 0]",1024.170894,0.32812835129248497,[0.03094757 0.05849751 0.08299128 0.10477036],[1207  404    0    0],5.764612425775823e-14
BTH5_sc021,"[114, 31, 0, 0]",1359.633116,0.3931264736825599,[0.0371728  0.06953887 0.09765    0.12205796],[ 949 1578    0    0],1.7763568394002505e-14
BTH5_sc024,"[133, 21, 0, 0]",1565.083998,0.40696915920594995,[0.03582446 0.06722729 0.09469779 0.11872528],[2022 1213    0    0],3.559752629923379e-14
