,BTE1,BTE2,BTE3,BTE4,BTH1,BTH2,BTH3,BTH4,BTH7,BTT1,BTT2,BTT3,BTT4,BTT5,BTT6,BTT7
SBS1,18.834608532005813,37.56365347791017,324.6088773366311,23.105609654762908,16.086702274262098,65.4452280215301,28.957037373516293,63.24520605697325,10.270483648356347,92.69293453820711,3.6104824570011265,39.27499253528439,205.82981845446528,75.9031551418661,46.706071266379205,46.93303506716489
SBS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.47152093540702,0.0,69.79242297789563,0.0,38.99504424268608,0.0,0.0,0.0,49.362491633913855
SBS3,0.0,111.34706992970514,459.3633279150226,0.0,17.940152423982443,0.0,0.0,0.0,0.0,233.15296559216083,0.0,137.93141565276042,546.0167993674056,128.83965798934372,0.0,0.0
SBS5,49.19888445833245,137.85343078414303,1319.7606497280517,156.49788495217012,14.57571233815376,315.40104525311057,109.3199305161381,381.6616953212227,113.96506786448367,127.31548905126829,13.852212283798792,106.28805610677206,473.3927301421513,232.90643256546207,154.30588536953962,150.07255251811713
SBS8,26.671931837623006,0.0,360.5051453001422,35.9551638875173,7.379783540779832,123.40580822026187,25.458270430876368,0.0,42.80340841445505,0.0,16.965972863061282,0.0,0.0,69.95017013057135,56.164590696795,42.99679967711699
SBS13,0.0,0.0,75.42463928733446,0.0,0.0,11.121547252875839,13.34931135445475,0.0,0.0,32.4711134753984,0.0,36.42718667383736,0.0,45.80819239117494,13.485384166565584,17.0000946643508
SBS17b,0.0,0.0,0.0,3.855123445481739,0.0,24.293739311104858,0.0,0.0,12.917907347396525,0.0,4.007654082834451,5.137807516936483,0.0,0.0,0.0,13.42358382578145
SBS18,0.0,18.807336023976553,0.0,0.0,0.0,0.0,0.0,34.68661923374948,16.603224203282572,43.98826828797829,7.657718859335617,0.0,153.33953982767508,0.0,0.0,0.0
SBS30,20.99227897071936,48.200186906233014,375.5885434638895,0.0,3.8440883167255944,39.210354428357995,18.77248670301182,62.376662240999934,0.0,158.23094036696565,14.27752534151798,0.0,323.2707277739796,84.49250412147542,27.859550691871632,43.84647648368181
denovo_(SBS169),12.41974342135704,0.0,0.0,0.0,0.0,41.619708160008116,0.0,35.140742041601044,22.81228881973207,32.52890829057155,0.0,0.0,56.42060028973933,0.0,33.88218096704403,0.0
denovo_(SBS127),0.0,0.0,0.0,0.0,0.0,0.0,19.140325673991928,0.0,0.0,0.0,8.404304501393039,0.0,0.0,0.0,0.0,0.0
