,BTE1,BTE4,BTH4,BTH5,BTT4,BTT7
SBS1,0.1023623143069502,0.12536497785236306,0.035657120239006954,0.14215993067585128,0.0507511145322603,0.046651846826930875
SBS2,0.29220987460629977,0.11418367980334697,0.14724363042126232,0.09653528413306575,0.028969763732220283,0.0273324817779862
SBS3,0.0,0.2184268378953734,0.11213830478723745,0.19621967380422656,0.5566485123802923,0.5356451190959948
SBS5,0.30058980371819966,0.2376927288352865,0.14413005189199662,0.34181029173960564,0.16603822068492397,0.23889940703716675
SBS8,0.06529217552327649,0.0,0.0,0.0,0.0,0.03778248464243337
SBS13,0.17372346518165582,0.27704993912217646,0.22632007128991982,0.13381701205744692,0.0525353321688011,0.11368866061948806
SBS17b,0.0,0.0,0.0,0.008974128264839528,0.0,0.0
SBS18,0.0,0.027281836491453694,0.0,0.08048367932496432,0.11153036775429612,0.0
SBS30,0.03544677393764767,0.0,0.0,0.0,0.0,0.0
denovo_(SBS169),0.030375592725970308,0.0,0.016105170303353688,0.0,0.03352668874720587,0.0
denovo_(SBS127),0.0,0.0,0.31840565106722324,0.0,0.0,0.0
